Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 45 lines of code,MEDIUM,RAW,2026-07-17,0,src/api-hooks/mutations/useDeleteData.ts,TypeScript,45
Interface module with 45 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/bufferFlightPlansOnLayer.ts,TypeScript,45
Interface module with 45 lines of code,MEDIUM,RAW,2026-07-14,3,src/hooks/zustand/shared/planContentSelectionState.ts,TypeScript,45
Interface module with 44 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/hover-click-handlers/useDrawPath.ts,TypeScript,44
Interface module with 44 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/ArcGISHelpers/createNewPointEvent.ts,TypeScript,44
Interface module with 43 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/pointMapGraphicFactories.ts,TypeScript,43
Interface module with 41 lines of code,MEDIUM,RAW,2026-06-10,37,src/hooks/wizard/useWizardButtons.ts,TypeScript,41
Interface module with 40 lines of code,MEDIUM,RAW,2026-07-13,4,src/hooks/points/useWizardPointsFilterHeader.tsx,TypeScript,40
Interface module with 40 lines of code,MEDIUM,RAW,2026-06-29,18,src/helpers/points/buildPointUpdatePayload.ts,TypeScript,40
Interface module with 39 lines of code,MEDIUM,RAW,2026-07-04,13,src/hooks/flightPlan/buildFlightPlanCreateAttributes.ts,TypeScript,39
Interface module with 39 lines of code,MEDIUM,RAW,2026-06-29,18,src/hooks/resultTab/useResultTabStarredPointActions.ts,TypeScript,39
Interface module with 39 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/useTimeRange.ts,TypeScript,39
Interface module with 39 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/points/flightPlanPointExcel.ts,TypeScript,39
Interface module with 38 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/hover-click-handlers/useFeatureLayerPopup.ts,TypeScript,38
Interface module with 38 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/hover-click-handlers/useNearestPointClick.ts,TypeScript,38
Interface module with 37 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/tableExports/geoJsonExport.ts,TypeScript,37
Interface module with 37 lines of code,MEDIUM,RAW,2026-06-10,37,src/hooks/viewPlan/useMapPointSelectionClick.ts,TypeScript,37
Interface module with 35 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/geo/buildCoordinateSyncPatch.ts,TypeScript,35
Interface module with 34 lines of code,MEDIUM,RAW,2026-07-13,4,src/hooks/resultTab/useResultTabMoreMenu.ts,TypeScript,34
Interface module with 34 lines of code,MEDIUM,RAW,2026-07-13,4,src/hooks/flightPlan/flightPlanFormLabels.ts,TypeScript,34
Interface module with 32 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/centerAndZoomFromPlan.ts,TypeScript,32
Interface module with 32 lines of code,MEDIUM,RAW,2026-07-15,2,src/hooks/filters/useFilteredSortedPlans.ts,TypeScript,32
Interface module with 32 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/buildPlanBoundingBoxGraphic.ts,TypeScript,32
Interface module with 31 lines of code,MEDIUM,RAW,2026-07-13,4,src/hooks/resultTab/useResultTabTableView.ts,TypeScript,31
Interface module with 30 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/hover-click-handlers/useEditGeometryVerticesOnMap.ts,TypeScript,30
Interface module with 30 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/features/useRenderGeometries.ts,TypeScript,30
Interface module with 29 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/features/useRenderPoints.ts,TypeScript,29
Interface module with 28 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/hover-click-handlers/useFeatureLayerLabels.ts,TypeScript,28
Interface module with 28 lines of code,MEDIUM,RAW,2026-07-13,4,src/helpers/ArcGISHelpers/flightPlanMapActions.ts,TypeScript,28
Interface module with 28 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/popUpModal/useHandleClosePopUp.ts,TypeScript,28
Interface module with 27 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/hover-click-handlers/useDrawYellowMarkers.ts,TypeScript,27
Interface module with 27 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/features/useHoverPointsAndGeometries.ts,TypeScript,27
Interface module with 27 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/pointGraphicCoordinates.ts,TypeScript,27
Interface module with 27 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/ArcGISHelpers/getTransformedCoordinates.ts,TypeScript,27
Interface module with 27 lines of code,MEDIUM,RAW,2026-07-13,4,src/hooks/points/useHerhalenSelectionHandlers.ts,TypeScript,27
Interface module with 26 lines of code,MEDIUM,RAW,2026-07-14,3,src/hooks/features/useResetPointFilters.ts,TypeScript,26
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/ArcGISHelpers/createMapView.ts,TypeScript,25
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/filters/useFilterPoints.ts,TypeScript,25
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/ArcGISHelpers/createYellowBorder.ts,TypeScript,25
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-29,18,src/hooks/points/sortPointsWithSelectionOrder.ts,TypeScript,25
Interface module with 24 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/hover-click-handlers/useDrawYellowGeometries.ts,TypeScript,24
Interface module with 24 lines of code,MEDIUM,RAW,2026-07-17,0,src/api-hooks/planImages/pointPlanImagesToAttachments.ts,TypeScript,24
Interface module with 23 lines of code,MEDIUM,RAW,2026-07-13,4,src/hooks/flightPlan/collectUniquePlanPointIds.ts,TypeScript,23
Interface module with 22 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/filterPlans.ts,TypeScript,22
Interface module with 21 lines of code,MEDIUM,RAW,2026-06-10,37,src/hooks/hover-click-handlers/useGeometryClick.ts,TypeScript,21
