Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 7 for unit getTransformedCoordinates.ts.getTransformedCoordinates(TransformCoordinatesInput),LOW,RAW,2026-07-04,13,getTransformedCoordinates.ts.getTransformedCoordinates(TransformCoordinatesInput),src/helpers/ArcGISHelpers/getTransformedCoordinates.ts#L10:34,TypeScript,20,7,1
McCabe complexity of 9 for unit spoedReportPdf.ts.waitForEmbeddedAssets(Page),LOW,RAW,2026-06-29,18,spoedReportPdf.ts.waitForEmbeddedAssets(Page),backend/src/routes/emails/spoedReportPdf.ts#L22:41,TypeScript,20,9,1
McCabe complexity of 8 for unit pointPlanImagesToAttachments.ts.pointPlanImagesToAttachments(PointPlanImageRow[]),LOW,RAW,2026-07-17,0,pointPlanImagesToAttachments.ts.pointPlanImagesToAttachments(PointPlanImageRow[]),src/api-hooks/planImages/pointPlanImagesToAttachments.ts#L5:28,TypeScript,20,8,1
McCabe complexity of 6 for unit keycloakUserApi.ts.createKeycloakUser(any),LOW,RAW,2026-07-04,13,keycloakUserApi.ts.createKeycloakUser(any),src/Components/DashboardPage/shared/keycloakUserApi.ts#L47:72,TypeScript,20,6,1
"McCabe complexity of 6 for unit entityDeleteHelpers.ts.removePointIdsFromFlightPlans(PoolClient,number[])",LOW,RAW,2026-07-01,16,"entityDeleteHelpers.ts.removePointIdsFromFlightPlans(PoolClient,number[])",backend/src/helpers/entities/entityDeleteHelpers.ts#L68:94,TypeScript,20,6,2
McCabe complexity of 6 for unit usePointGraphicsEffects.ts.usePointGraphicsRendering(any),LOW,RAW,2026-07-14,3,usePointGraphicsEffects.ts.usePointGraphicsRendering(any),src/hooks/features/usePointGraphicsEffects.ts#L10:36,TypeScript,19,6,1
McCabe complexity of 7 for unit parseTimesliderImageQuery.ts.parseTimesliderImageQuery(URLSearchParams),LOW,RAW,2026-07-04,13,parseTimesliderImageQuery.ts.parseTimesliderImageQuery(URLSearchParams),src/Components/TimesliderItemDetailPage/parseTimesliderImageQuery.ts#L32:57,TypeScript,19,7,1
"McCabe complexity of 7 for unit FinishedPlanWriter.insertOneAttachment(FinishedPlanPoint,FinishedPlanAttachment)",LOW,RAW,2026-07-01,16,"FinishedPlanWriter.insertOneAttachment(FinishedPlanPoint,FinishedPlanAttachment)",backend/src/helpers/finished-plans/createFinishedPlanDb.ts#L167:188,TypeScript,19,7,2
"McCabe complexity of 7 for unit formatPlanGeometries.ts.formatFinishedPlansWithGeometries(Record<string, unknown>,any)",LOW,RAW,2026-06-30,17,"formatPlanGeometries.ts.formatFinishedPlansWithGeometries(Record<string, unknown>,any)",backend/src/helpers/queries/geometries/formatPlanGeometries.ts#L147:160,TypeScript,19,7,2
McCabe complexity of 7 for unit parseKeycloakAdminTokenResponse.ts.parseKeycloakAdminTokenResponse(Response),LOW,RAW,2026-07-14,3,parseKeycloakAdminTokenResponse.ts.parseKeycloakAdminTokenResponse(Response),backend/src/services/parseKeycloakAdminTokenResponse.ts#L10:27,TypeScript,18,7,1
