Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
22 lines of code for unit getFlightPlansByPointHelpers.ts,LOW,RAW,2026-07-18,0,getFlightPlansByPointHelpers.ts,backend/src/routes/points/getFlightPlansByPointHelpers.ts#L1:25,TypeScript,22,1,0
22 lines of code for unit useMapClickToUpdateCoordinates.ts.useMapClickToUpdateCoordinates(any),LOW,RAW,2026-06-04,44,useMapClickToUpdateCoordinates.ts.useMapClickToUpdateCoordinates(any),src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/useMapClickToUpdateCoordinates.ts#L10:39,TypeScript,22,3,1
22 lines of code for unit upsertRegisteredDevice.ts.insertNewDevice(RegisterDeviceInput),LOW,RAW,2026-07-04,14,upsertRegisteredDevice.ts.insertNewDevice(RegisterDeviceInput),backend/src/routes/devices-updates/upsertRegisteredDevice.ts#L43:67,TypeScript,22,5,1
22 lines of code for unit useDrawingStore.ts,LOW,RAW,2026-06-04,44,useDrawingStore.ts,src/hooks/zustand/useDrawingStore.ts#L1:48,TypeScript,22,1,0
22 lines of code for unit editPointCoordinateSync.ts,LOW,RAW,2026-07-17,1,editPointCoordinateSync.ts,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/editPointCoordinateSync.ts#L1:35,TypeScript,22,5,0
22 lines of code for unit arcgisOAuthTokenPost.ts.postArcgisOAuthToken(ResolvedArcgisTokenConfig),LOW,RAW,2026-07-18,0,arcgisOAuthTokenPost.ts.postArcgisOAuthToken(ResolvedArcgisTokenConfig),backend/src/services/arcgisOAuthTokenPost.ts#L4:28,TypeScript,22,3,1
22 lines of code for unit useNotLoggedInBanner.ts.useNotLoggedInBanner(),LOW,RAW,2026-07-18,0,useNotLoggedInBanner.ts.useNotLoggedInBanner(),src/Components/HomePage/Body/Common/useNotLoggedInBanner.ts#L15:39,TypeScript,22,2,0
22 lines of code for unit resolveUploadedAttachment.ts.queryLatestAttachmentResult(any),LOW,RAW,2026-07-18,0,resolveUploadedAttachment.ts.queryLatestAttachmentResult(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/resolveUploadedAttachment.ts#L8:34,TypeScript,22,2,1
22 lines of code for unit Buttons.tsx.Buttons(any),LOW,RAW,2026-06-04,44,Buttons.tsx.Buttons(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/Buttons.tsx#L10:35,TypeScript,22,4,1
22 lines of code for unit useReuseFlightPlan.ts,LOW,RAW,2026-06-04,44,useReuseFlightPlan.ts,src/hooks/zustand/useReuseFlightPlan.ts#L1:67,TypeScript,22,1,0
