Name,Status,Lines of code,Lines of code (Before),Duplication,Duplication (Before)
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditGeometryBody.tsx,new,64,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditGeometryListView.tsx,new,48,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/Header.tsx,recurring,22,22,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/SingleGeometry.tsx,recurring,37,41,0,54.55
src/Components/HomePage/Body/Left/Tools/EditGeometry/applyGeometryDeleteSuccess.ts,new,34,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/applyGeometrySaveSuccess.ts,new,41,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/editGeometryActionHandlers.ts,new,148,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/editGeometryActionProps.ts,new,6,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/editGeometryHandlerFactories.ts,new,74,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/editGeometryHelpers.ts,new,76,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/editGeometrySuccessHandlers.ts,new,2,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/index.tsx,recurring,8,243,0,3.92
src/Components/HomePage/Body/Left/Tools/EditGeometry/mergeSavedGeometry.ts,new,19,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/useEditGeometryHandlers.ts,new,18,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/useEditGeometryModel.ts,new,38,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/useEditGeometryModelEffects.ts,new,19,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/useEditGeometryMutations.ts,new,9,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/useEditGeometryUiState.ts,new,21,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditFormBody.tsx,recurring,142,143,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditFormFooter.tsx,recurring,35,35,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditFormHeader.tsx,recurring,14,14,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditFormScreens.tsx,new,103,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditFormView.tsx,new,9,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointsList.tsx,recurring,52,52,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/FormFooterBar.tsx,recurring,11,11,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/editFormActions.ts,new,91,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/editFormTypes.ts,new,15,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/index.tsx,recurring,23,180,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/renderEditFormScreen.tsx,new,45,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/useEditFormController.ts,new,42,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/useEditFormEffects.ts,new,37,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/useEditFormState.ts,new,63,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/CoordinateSystemSelect.tsx,recurring,23,23,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/RdFields.tsx,recurring,68,76,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/Wgs84Fields.tsx,recurring,71,79,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/applyMapClickCoordinates.ts,new,45,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/coords.ts,recurring,9,9,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/index.tsx,recurring,45,45,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/resolveDebouncedPointWgs84.ts,new,28,-,0,-
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/useDebouncedRedPointFromInputs.ts,recurring,35,57,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/useMapClickToUpdateCoordinates.ts,recurring,34,52,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/helpers/labels.ts,recurring,21,21,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/helpers/pointForm.ts,recurring,50,50,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/helpers/pointTypes.ts,recurring,7,7,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/helpers/types.ts,recurring,30,25,0,0
src/Components/HomePage/Body/Left/Tools/Emailijst/index.tsx,recurring,30,30,0,0
src/Components/HomePage/Body/Left/Tools/Emailijst/AddEmail/Loading.tsx,recurring,13,13,0,0
src/Components/HomePage/Body/Left/Tools/Emailijst/AddEmail/index.tsx,recurring,73,73,0,0
src/Components/HomePage/Body/Left/Tools/Emailijst/DeleteEmail/Loading.tsx,recurring,13,13,0,0
src/Components/HomePage/Body/Left/Tools/Emailijst/DeleteEmail/index.tsx,recurring,60,60,0,0
src/Components/HomePage/Body/Left/Tools/Emailijst/EditEmail/Loading.tsx,recurring,13,13,0,0
src/Components/HomePage/Body/Left/Tools/Emailijst/EditEmail/index.tsx,recurring,76,76,0,0
src/Components/HomePage/Body/Left/Tools/Emailijst/List/Buttons.tsx,recurring,46,68,0,0
src/Components/HomePage/Body/Left/Tools/Emailijst/List/index.tsx,recurring,47,47,0,0
src/Components/HomePage/Body/Left/Tools/Exporter/index.tsx,recurring,85,108,0,0
src/Components/HomePage/Body/Left/Tools/Exporter/takeMapScreenshotBlob.ts,new,28,-,0,-
src/Components/HomePage/Body/Left/Tools/Exporter/Steps/Step1.tsx,recurring,50,50,0,0
src/Components/HomePage/Body/Left/Tools/Exporter/Steps/Step2.tsx,recurring,10,10,0,0
src/Components/HomePage/Body/Left/Tools/Exporter/Steps/Step3.tsx,recurring,14,14,0,0
src/Components/HomePage/Body/Left/Tools/ToevoegenKaartlagen/index.jsx,recurring,8,8,0,0
src/Components/HomePage/Body/Left/Tools/ToevoegenKaartlagen/Step1/Buttons.tsx,recurring,16,13,0,0
src/Components/HomePage/Body/Left/Tools/ToevoegenKaartlagen/Step1/index.tsx,recurring,24,24,0,0
src/Components/HomePage/Body/Left/Tools/Uploaden/index.tsx,recurring,32,32,0,0
src/Components/HomePage/Body/Left/Tools/Uploaden/Step1/index.tsx,recurring,21,21,0,0
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/index.tsx,recurring,14,14,0,0
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/AddPointsVluchtPlanStepContent.tsx,new,35,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/Filter.tsx,recurring,29,82,0,55
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/Header.tsx,recurring,37,36,0,0
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/PointsList.tsx,recurring,19,90,0,58.54
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/SelectButtons.tsx,recurring,31,65,0,35.56
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/StepContent.tsx,recurring,17,167,0,19.05
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/StepContentLists.tsx,new,40,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/StepContentView.tsx,new,23,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/stepContentFilters.ts,new,47,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/stepContentListSelectionProps.ts,new,13,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/stepContentViewProps.ts,new,7,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/useStepContentDataInit.ts,new,33,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/useStepContentDisplayed.ts,new,41,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/useStepContentHooks.ts,new,37,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/useStepContentMapSync.ts,new,30,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step1/index.tsx,recurring,64,61,0,0
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step2/Buttons.tsx,recurring,37,65,0,0
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step2/index.tsx,recurring,14,27,0,66.67
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step3/Buttons.tsx,recurring,70,101,0,0
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step3/index.tsx,recurring,14,27,0,66.67
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/index.tsx,recurring,23,18,0,0
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/ClearButton.tsx,recurring,29,29,0,0
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/ConfirmButton.tsx,recurring,68,68,0,0
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/DrawingToolStep1Actions.tsx,new,31,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/DrawingToolStep1Header.tsx,new,22,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/Options.tsx,recurring,139,172,0,0
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/Text.tsx,recurring,67,67,0,0
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/index.tsx,recurring,25,108,0,0
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/useDrawingToolSketchState.ts,new,36,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/useDrawingToolStep1Model.ts,new,27,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Buttons.tsx,recurring,99,166,0,13.79
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx,recurring,17,39,0,96.43
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/GeometryOmschrijvingField.tsx,recurring,26,26,0,0
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/index.tsx,recurring,18,18,0,0
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/buildGeometryPointsFromDrawn.ts,new,51,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/drawingToolMapCleanup.ts,recurring,41,31,0,0
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/drawingToolSketch.ts,new,47,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/pickDrawingGeometryFormFields.ts,new,11,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/resetSketchSession.ts,recurring,57,57,0,0
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/toGeometryPointPayload.ts,new,65,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/useDrawingToolLifecycle.ts,recurring,112,93,0,0
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/useGraphicsLayerHasItems.ts,new,20,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/useOmschrijvingExists.ts,recurring,13,13,0,0
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/webMercatorToWgs84.ts,new,25,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/handleEnrichedAddPointClick.ts,new,33,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/index.tsx,recurring,14,105,0,37.84
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/registerEnrichedAddPointClick.ts,new,30,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/useEnrichedAddPointController.ts,new,16,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/useEnrichedAddPointMapClick.ts,new,23,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/useEnrichedAddPointMapWiring.ts,new,24,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Common/SearchWidget.tsx,recurring,50,50,0,0
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step1/index.tsx,recurring,72,72,0,0
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/CoordinatesInput.tsx,recurring,34,96,0,24.32
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/NextBtn.tsx,recurring,48,73,0,12.5
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx,recurring,37,60,0,23.26
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/applyGraphicPositionNext.ts,new,54,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/index.tsx,recurring,57,57,0,0
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/isNearExistingPoint.ts,new,15,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/syncEnrichedCoordsForPreview.ts,new,31,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts,recurring,15,28,0,78.26
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Buttons.tsx,recurring,49,82,0,26.92
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx,recurring,17,39,0,100
