Source,Target,Type,Description,Status,Count,Count (Before),Undesirable
src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepNo/index.tsx,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/useAddToPlanStepButtons.ts,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/DeletePoint/index.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step1Buttons.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/index.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/ViewPlans/Images.tsx,src/api-hooks/finishedPlans/usePlanPointAttachments.ts,Code call,typescript.call,recurring,1,1,
src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/ViewPlans/index.tsx,src/api-hooks/flightPlans/useFlightPlanLookupQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step1/Buttons.tsx,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/Buttons.tsx,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Buttons.tsx,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Buttons.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/useAddPointToPlanModel.ts,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/useSelectFromSourceQuery.ts,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/useSelectFromSourceQuery.ts,src/api-hooks/templateFlights/useTemplateFlights.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Vluchtnummer.tsx,src/api-hooks/flightPlans/useFlightPlanLookupQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/Submit.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/useViewPlanController.ts,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,Code call,typescript.call,new,1,,
