Source,Target,Type,Description,Status,Count,Count (Before),Undesirable
backend/src/routes/finished_plans/updateFinishedPointAttachments.ts,attachments,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/finished_plans/updateFinishedPointAttachments.ts,finished_plans,Data access,Embedded SQL query,removed,0,2,
backend/src/routes/flightPlans/deleteFlightPlan.ts,attachments,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/flightPlans/deleteFlightPlan.ts,finished_plans,Data access,Embedded SQL query,removed,0,2,
backend/src/routes/flightPlans/deleteFlightPlan.ts,finished_plans_path,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/flightPlans/deleteFlightPlan.ts,flightplans,Data access,Embedded SQL query,removed,0,3,
backend/src/routes/geometries/createGeometry.ts,geometries,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/geometries/deleteGeometry.ts,attachments,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/geometries/deleteGeometry.ts,finished_plans,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/geometries/deleteGeometry.ts,geometries,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/geometries/deleteGeometry.ts,points,Data access,Embedded SQL query,removed,0,2,
backend/src/routes/geometries/getSingleGeometry.ts,geometries,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/geometries/getSingleGeometry.ts,points,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/geometries/updateGeometry.ts,geometries,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/geometries/updateGeometry.ts,points,Data access,Embedded SQL query,removed,0,3,
backend/src/routes/points/createPointFromImport.ts,points,Data access,Embedded SQL query,removed,0,2,
backend/src/routes/points/deletePoint.ts,attachments,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/points/deletePoint.ts,finished_plans,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/points/deletePoint.ts,points,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/template_plans/createTemplateFlightPlan.ts,template_plans,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/users/updateUser.ts,users,Data access,Embedded SQL query,removed,0,1,
