Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 7 for unit handleToolsTabClick.ts.handleToolsTabClick(HandleToolsTabClickInput),LOW,RAW,2026-07-18,3,handleToolsTabClick.ts.handleToolsTabClick(HandleToolsTabClickInput),src/Components/HomePage/Head/handleToolsTabClick.ts#L45:55,TypeScript,9,7,1
"McCabe complexity of 6 for unit filterValidAttachments.ts.filterValidAttachments(any,any,any,any)",LOW,RAW,2026-06-06,45,"filterValidAttachments.ts.filterValidAttachments(any,any,any,any)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/filterValidAttachments.ts#L3:13,TypeScript,9,6,4
McCabe complexity of 7 for unit oidcProfile.ts.resolveOidcRequestProfile(any),LOW,RAW,2026-07-17,4,oidcProfile.ts.resolveOidcRequestProfile(any),backend/src/routes/auth/oidcProfile.ts#L9:23,TypeScript,9,7,1
McCabe complexity of 6 for unit idsFromTimesliderPlans.ts.getPointAndGeometryIdsFromPlans(FinishedFlightPlanType[]),LOW,RAW,2026-06-04,47,idsFromTimesliderPlans.ts.getPointAndGeometryIdsFromPlans(FinishedFlightPlanType[]),src/helpers/timeslider/idsFromTimesliderPlans.ts#L4:12,TypeScript,9,6,1
"McCabe complexity of 6 for unit onSuccess(any,any)",LOW,RAW,2026-07-17,4,"onSuccess(any,any)",src/api-hooks/mutations/useApiMutation.ts#L38:47,TypeScript,9,6,2
McCabe complexity of 7 for unit logEntry.ts.resolveLogContextFields(LogContext),LOW,RAW,2026-07-18,3,logEntry.ts.resolveLogContextFields(LogContext),src/hooks/logging/logEntry.ts#L33:41,TypeScript,9,7,1
McCabe complexity of 6 for unit editPointCoordinateApply.ts.applyCoordinateSystemPatch(any),LOW,RAW,2026-07-18,3,editPointCoordinateApply.ts.applyCoordinateSystemPatch(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/editPointCoordinateApply.ts#L23:40,TypeScript,8,6,1
"McCabe complexity of 6 for unit applyCoordinateSyncPatchToSetters.ts.applyCoordinateSyncPatchToSetters(CoordinateSyncPatch|null|undefined,CoordinateSyncPatchSetters)",LOW,RAW,2026-07-18,3,"applyCoordinateSyncPatchToSetters.ts.applyCoordinateSyncPatchToSetters(CoordinateSyncPatch|null|undefined,CoordinateSyncPatchSetters)",src/helpers/geo/applyCoordinateSyncPatchToSetters.ts#L11:20,TypeScript,7,6,2
McCabe complexity of 7 for unit authSecurityLogHelpers.ts.getClientIp(Request),LOW,RAW,2026-07-17,4,authSecurityLogHelpers.ts.getClientIp(Request),backend/src/routes/auth2/authSecurityLogHelpers.ts#L13:19,TypeScript,7,7,1
McCabe complexity of 7 for unit Auth2RateLimiters.getClientIp(Request),LOW,RAW,2026-07-18,3,Auth2RateLimiters.getClientIp(Request),backend/src/routes/auth2/authRateLimitHelpers.ts#L11:17,TypeScript,7,7,1
McCabe complexity of 6 for unit featureLayerPopupFormatting.ts.formatPopupValue(unknown),LOW,RAW,2026-07-15,6,featureLayerPopupFormatting.ts.formatPopupValue(unknown),src/Components/HomePage/Body/Common/FeatureLayerPopup/featureLayerPopupFormatting.ts#L45:51,TypeScript,7,6,1
McCabe complexity of 8 for unit useTemplateFlights.ts.isTemplateFlightsEnabled(UseTemplateFlightsInput),LOW,RAW,2026-07-18,3,useTemplateFlights.ts.isTemplateFlightsEnabled(UseTemplateFlightsInput),src/api-hooks/templateFlights/useTemplateFlights.ts#L17:22,TypeScript,6,8,1
McCabe complexity of 6 for unit multerErrorMessage.ts.mapMulterError(unknown),LOW,RAW,2026-07-13,8,multerErrorMessage.ts.mapMulterError(unknown),backend/src/helpers/uploads/multerErrorMessage.ts#L13:18,TypeScript,6,6,1
McCabe complexity of 7 for unit TimesliderPageStatusInput.resolvePlansEmptyHint(TimesliderPageStatusInput),LOW,RAW,2026-07-15,6,TimesliderPageStatusInput.resolvePlansEmptyHint(TimesliderPageStatusInput),src/Components/TimesliderItemDetailPage/timesliderPageStatus.ts#L28:32,TypeScript,5,7,1
McCabe complexity of 7 for unit ScheduleEditPointPreviewInput.DefaultUnit,LOW,RAW,2026-07-18,3,ScheduleEditPointPreviewInput.DefaultUnit,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/scheduleEditPointPreview.ts#L15:31,TypeScript,-,7,0
McCabe complexity of 8 for unit TruthyColumn.DefaultUnit,LOW,RAW,2026-07-17,4,TruthyColumn.DefaultUnit,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/parsePointImportFile.ts#L36:37,TypeScript,-,8,0
