Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,13,13,2,false,true,TypeScript,"backend/src/helpers/queries/geometries/formatPlanGeometries.ts#L120:132,backend/src/routes/geometries/getGeometries.ts#L12:24"
12 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,5,12,12,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/PointsList.tsx#L37:53,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/PointsList.tsx#L79:95"
12 lines occurring 2 times,HIGH,RAW,2026-07-04,0,12,12,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/Buttons.tsx#L51:70,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/Buttons.tsx#L96:115"
12 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,12,12,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Form.tsx#L19:30,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/index.tsx#L15:26"
12 lines occurring 2 times,HIGH,RAW,2026-07-04,0,12,12,2,true,true,TypeScript,"src/helpers/tableExports/pointsPlansTableExport.ts#L133:145,src/helpers/tableExports/pointsPlansTableExport.ts#L170:182"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx#L63:73,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts#L17:27"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,5,11,11,2,false,false,TypeScript,"src/helpers/points/buildPointUpdatePayload.ts#L43:53,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Form/index.tsx#L56:66"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,28,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L15:27,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step1/SinglePlan.tsx#L20:32"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,30,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/Filter.tsx#L21:32,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/Filter.tsx#L28:39"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,5,11,11,2,false,false,TypeScript,"src/Types/keycloakUser.ts#L1:11,backend/src/routes/keycloak/management/users/types.ts#L1:11"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,28,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/FiltersSection/FilterSelect.tsx#L2:14,src/Components/HomePage/Body/Left/Common/FormComponents/SelectComp.tsx#L4:16"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,30,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/index.tsx#L23:36,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useFilterAndSortPlans.ts#L22:35"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Form.tsx#L20:30,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L18:28"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,5,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L55:65,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx#L52:62"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L38:47,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx#L37:46"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L25:34,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L32:41"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/Buttons.tsx#L54:63,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L57:66"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,28,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L28:39,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/index.tsx#L39:50"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L40:54,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L42:56"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,10,10,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L9:18,src/hooks/zustand/useDrawingStore.ts#L12:21"
