Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 6 for unit resolveCredentialOrAmbiguousLoginError.ts.resolveCredentialOrAmbiguousLoginError(any),LOW,RAW,2026-07-22,5,resolveCredentialOrAmbiguousLoginError.ts.resolveCredentialOrAmbiguousLoginError(any),backend/src/routes/auth2/resolveCredentialOrAmbiguousLoginError.ts#L25:51,TypeScript,19,6,1
McCabe complexity of 6 for unit parseTimesliderImageQuery.ts.parseTimesliderImageQuery(URLSearchParams),LOW,RAW,2026-07-04,23,parseTimesliderImageQuery.ts.parseTimesliderImageQuery(URLSearchParams),src/Components/TimesliderItemDetailPage/parseTimesliderImageQuery.ts#L42:65,TypeScript,18,6,1
McCabe complexity of 6 for unit refreshFeatureStores.ts.refreshFeatureStores(string),LOW,RAW,2026-07-17,10,refreshFeatureStores.ts.refreshFeatureStores(string),src/lib/refreshFeatureStores.ts#L4:24,TypeScript,18,6,1
McCabe complexity of 6 for unit useGeometryGraphicsEffects.ts.useGeometryGraphicsRendering(any),LOW,RAW,2026-07-14,13,useGeometryGraphicsEffects.ts.useGeometryGraphicsRendering(any),src/hooks/features/useGeometryGraphicsEffects.ts#L17:41,TypeScript,17,6,1
McCabe complexity of 6 for unit drawingToolMapCleanup.ts.clearCurrentlyDrawingGraphics(MapView|null|undefined),LOW,RAW,2026-06-10,47,drawingToolMapCleanup.ts.clearCurrentlyDrawingGraphics(MapView|null|undefined),src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/drawingToolMapCleanup.ts#L6:27,TypeScript,17,6,1
McCabe complexity of 6 for unit index.tsx.Step1(any),LOW,RAW,2026-06-04,53,index.tsx.Step1(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/index.tsx#L14:64,TypeScript,17,6,1
"McCabe complexity of 6 for unit parseAgentReport.ts.parseAgentReportBody(Record<string, unknown>)",LOW,RAW,2026-07-04,23,"parseAgentReport.ts.parseAgentReportBody(Record<string, unknown>)",backend/src/routes/devices-updates/agent/parseAgentReport.ts#L18:33,TypeScript,16,6,1
"McCabe complexity of 6 for unit deleteFotoFromArcgis.ts.deleteFotoFromArcgis(AttachmentType,void)",LOW,RAW,2026-07-18,9,"deleteFotoFromArcgis.ts.deleteFotoFromArcgis(AttachmentType,void)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/deleteFotoFromArcgis.ts#L5:23,TypeScript,16,6,2
McCabe complexity of 6 for unit filterPlansByPeriod.ts.matchesPeriod(any),LOW,RAW,2026-07-17,10,filterPlansByPeriod.ts.matchesPeriod(any),src/hooks/filters/filterPlansByPeriod.ts#L14:37,TypeScript,16,6,1
McCabe complexity of 6 for unit FinishedPlanWriter.insertAttachmentRow(any),LOW,RAW,2026-07-27,0,FinishedPlanWriter.insertAttachmentRow(any),backend/src/helpers/finished-plans/createFinishedPlanDb.ts#L196:215,TypeScript,16,6,1
McCabe complexity of 6 for unit showPlanSearchListHoverBody.ts.showPlanSearchListHover(any),LOW,RAW,2026-07-22,5,showPlanSearchListHoverBody.ts.showPlanSearchListHover(any),src/hooks/hover-click-handlers/showPlanSearchListHoverBody.ts#L9:30,TypeScript,16,6,1
McCabe complexity of 6 for unit selectedPlansPointsList.ts.collectSelectedDataFromPlan(FinishedFlightPlanType),LOW,RAW,2026-07-17,10,selectedPlansPointsList.ts.collectSelectedDataFromPlan(FinishedFlightPlanType),src/helpers/timeslider/selectedPlansPointsList.ts#L48:67,TypeScript,16,6,1
McCabe complexity of 6 for unit NormalizedImportRow.to01(unknown),LOW,RAW,2026-07-22,5,NormalizedImportRow.to01(unknown),backend/src/helpers/points/importPointRowNormalization.ts#L42:57,TypeScript,16,6,1
"McCabe complexity of 7 for unit resolveFlightPlanQueryDefaults.ts.resolveFlightPlanQueryScalars(BuildFlightPlanQueryOptions,string)",LOW,RAW,2026-07-22,5,"resolveFlightPlanQueryDefaults.ts.resolveFlightPlanQueryScalars(BuildFlightPlanQueryOptions,string)",backend/src/helpers/queries/flight-plans/resolveFlightPlanQueryDefaults.ts#L50:68,TypeScript,16,7,2
McCabe complexity of 6 for unit renderTabContent(),LOW,RAW,2026-06-04,53,renderTabContent(),src/Components/HomePage/Body/Bottom/PlansView/index.tsx#L19:34,TypeScript,16,6,0
McCabe complexity of 6 for unit syncScrollPositions.ts.syncScrollPositions(any),LOW,RAW,2026-07-13,14,syncScrollPositions.ts.syncScrollPositions(any),src/Components/HomePage/Body/Bottom/PointsView/common/functions/syncScrollPositions.ts#L3:24,TypeScript,15,6,1
"McCabe complexity of 6 for unit InputComp.tsx.resolveInputField(InputCompProps,any)",LOW,RAW,2026-07-18,9,"InputComp.tsx.resolveInputField(InputCompProps,any)",src/Components/HomePage/Body/Left/Common/FormComponents/InputComp.tsx#L65:107,TypeScript,15,6,2
McCabe complexity of 6 for unit useSyncFlightPlanTimes.ts.useSyncFlightPlanTimes(FlightPlanType),LOW,RAW,2026-07-18,9,useSyncFlightPlanTimes.ts.useSyncFlightPlanTimes(FlightPlanType),src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/useSyncFlightPlanTimes.ts#L7:22,TypeScript,15,6,1
"McCabe complexity of 6 for unit SortedAttachment.resolveMarkerPoint(string|null|undefined,Map<string, number>)",LOW,RAW,2026-07-15,12,"SortedAttachment.resolveMarkerPoint(string|null|undefined,Map<string, number>)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/buildImageMarkerGraphics.ts#L50:69,TypeScript,15,6,2
McCabe complexity of 6 for unit refreshFeatureLayerLabels.ts.refreshFeatureLayerLabels(any),LOW,RAW,2026-07-22,5,refreshFeatureLayerLabels.ts.refreshFeatureLayerLabels(any),src/hooks/hover-click-handlers/refreshFeatureLayerLabels.ts#L6:25,TypeScript,14,6,1
McCabe complexity of 6 for unit pdfReportTables.ts.addDetailTable(any),LOW,RAW,2026-07-22,5,pdfReportTables.ts.addDetailTable(any),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportTables.ts#L108:124,TypeScript,14,6,1
