Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"3 parameters for unit useTimesliderPlansFetch.ts.resetPlansIdle(void,void,void)",LOW,RAW,2026-07-18,0,"useTimesliderPlansFetch.ts.resetPlansIdle(void,void,void)",src/Components/TimesliderItemDetailPage/useTimesliderPlansFetch.ts#L8:16,TypeScript,5,1,3
"3 parameters for unit helpers.ts.getUserRolesForRequest(string,any,any)",LOW,RAW,2026-06-29,19,"helpers.ts.getUserRolesForRequest(string,any,any)",backend/src/routes/keycloak/management/users/helpers.ts#L53:56,TypeScript,4,1,3
"3 parameters for unit installersUpload.ts.filename(any,any,any)",LOW,RAW,2026-07-13,5,"installersUpload.ts.filename(any,any,any)",backend/src/routes/installersUpload.ts#L11:14,TypeScript,4,2,3
"3 parameters for unit selectPoint(any,any,any)",LOW,RAW,2026-07-14,4,"selectPoint(any,any,any)",src/hooks/features/useRenderPoints.ts#L22:25,TypeScript,4,1,3
"3 parameters for unit selectAction(Parameters,any,string)",LOW,RAW,2026-07-14,4,"selectAction(Parameters,any,string)",src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/SelectedPointDetails/index.tsx#L21:27,TypeScript,4,1,3
"4 parameters for unit BufferUnit.addBufferedGraphics(GraphicsLayer,__esri.Geometry|__esri.Geometry,SimpleFillSymbol,number)",LOW,RAW,2026-07-17,1,"BufferUnit.addBufferedGraphics(GraphicsLayer,__esri.Geometry|__esri.Geometry,SimpleFillSymbol,number)",src/helpers/ArcGISHelpers/bufferPointsOnLayer.ts#L21:26,TypeScript,4,2,4
"3 parameters for unit buildDeletePointStep2Sub1Handlers.ts.buildDeletePointStep2Sub1Handlers(EditPointMapStepProps,ReturnType,any)",LOW,RAW,2026-07-18,0,"buildDeletePointStep2Sub1Handlers.ts.buildDeletePointStep2Sub1Handlers(EditPointMapStepProps,ReturnType,any)",src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/buildDeletePointStep2Sub1Handlers.ts#L4:8,TypeScript,4,1,3
"3 parameters for unit CachedAdminToken.getCachedAdminToken(string,any,any)",LOW,RAW,2026-07-14,4,"CachedAdminToken.getCachedAdminToken(string,any,any)",backend/src/services/keycloakAdminTokenCache.ts#L7:10,TypeScript,4,3,3
"3 parameters for unit flightPlanExtraColumns.ts.flightPlanExtraColumns(string,any,any)",LOW,RAW,2026-07-18,0,"flightPlanExtraColumns.ts.flightPlanExtraColumns(string,any,any)",backend/src/helpers/queries/flight-plans/flightPlanExtraColumns.ts#L1:6,TypeScript,3,1,3
"3 parameters for unit arcgisTokenConfigResolve.ts.pickNumericField(ArcgisTokenConfig|undefined,any,any)",LOW,RAW,2026-07-18,0,"arcgisTokenConfigResolve.ts.pickNumericField(ArcgisTokenConfig|undefined,any,any)",backend/src/services/arcgisTokenConfigResolve.ts#L41:46,TypeScript,3,3,3
"3 parameters for unit timesliderRangeHelpers.ts.clampToStep(number,number,number)",LOW,RAW,2026-07-14,4,"timesliderRangeHelpers.ts.clampToStep(number,number,number)",src/Components/HomePage/Head/timeslider/timesliderRangeHelpers.ts#L55:57,TypeScript,3,1,3
"3 parameters for unit ResizeHandleSide.clampSidebarWidth(number,number,number)",LOW,RAW,2026-07-17,1,"ResizeHandleSide.clampSidebarWidth(number,number,number)",src/hooks/layout/sidebarResizeMath.ts#L9:11,TypeScript,3,1,3
"3 parameters for unit BottomPanelDragState.clampPanelVh(number,any,any)",LOW,RAW,2026-07-17,1,"BottomPanelDragState.clampPanelVh(number,any,any)",src/Components/HomePage/Body/MapViewComp/bottomPanelResize.ts#L7:9,TypeScript,3,1,3
"4 parameters for unit DefaultLabels.resolveFieldLabel(AandachtspuntDetailsLabels|undefined,any,any,DefaultLabels)",LOW,RAW,2026-07-18,0,"DefaultLabels.resolveFieldLabel(AandachtspuntDetailsLabels|undefined,any,any,DefaultLabels)",src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L31:37,TypeScript,3,3,4
"3 parameters for unit ResizeHandleSide.getSidebarResizeDelta(ResizeHandleSide,number,number)",LOW,RAW,2026-07-17,1,"ResizeHandleSide.getSidebarResizeDelta(ResizeHandleSide,number,number)",src/hooks/layout/sidebarResizeMath.ts#L13:19,TypeScript,3,2,3
"3 parameters for unit LegendSectionLayoutProps.shouldShowNestedParent(string|undefined,boolean,boolean)",LOW,RAW,2026-07-18,0,"LegendSectionLayoutProps.shouldShowNestedParent(string|undefined,boolean,boolean)",src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSectionLayout.tsx#L39:45,TypeScript,3,3,3
"3 parameters for unit LegendSectionLayoutProps.isLegendLayerDisabled(boolean,string|undefined,boolean)",LOW,RAW,2026-07-18,0,"LegendSectionLayoutProps.isLegendLayerDisabled(boolean,string|undefined,boolean)",src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSectionLayout.tsx#L31:37,TypeScript,3,3,3
"3 parameters for unit sortPointsWithSelectionOrder.ts.compareOriginalIndex(number,number,Map<number, number>)",LOW,RAW,2026-07-18,0,"sortPointsWithSelectionOrder.ts.compareOriginalIndex(number,number,Map<number, number>)",src/hooks/points/sortPointsWithSelectionOrder.ts#L19:25,TypeScript,3,5,3
