Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
16 lines of code for unit handleEnrichedAddPointClick.ts.handleEnrichedAddPointClick(EnrichedAddPointClickInput),LOW,RAW,2026-07-17,1,handleEnrichedAddPointClick.ts.handleEnrichedAddPointClick(EnrichedAddPointClickInput),src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/handleEnrichedAddPointClick.ts#L18:37,TypeScript,16,5,1
16 lines of code for unit TimesliderRangeTrack.tsx.TimesliderRangeTrack(any),LOW,RAW,2026-07-13,5,TimesliderRangeTrack.tsx.TimesliderRangeTrack(any),src/Components/HomePage/Head/timeslider/TimesliderRangeTrack.tsx#L5:56,TypeScript,16,1,1
16 lines of code for unit FormElements.tsx.FormElements(),LOW,RAW,2026-07-13,5,FormElements.tsx.FormElements(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L12:72,TypeScript,16,1,0
16 lines of code for unit index.tsx.InstallationsPage(),LOW,RAW,2026-06-04,44,index.tsx.InstallationsPage(),src/Components/InstallationsPage/index.tsx#L19:31,TypeScript,16,2,0
16 lines of code for unit resolveRegioFilter.ts.getSessionRealmRoles(Request),LOW,RAW,2026-07-01,17,resolveRegioFilter.ts.getSessionRealmRoles(Request),backend/src/helpers/queries/shared/resolveRegioFilter.ts#L17:35,TypeScript,16,9,1
16 lines of code for unit keycloakAdminClient.ts,LOW,RAW,2026-07-13,5,keycloakAdminClient.ts,backend/src/routes/keycloak/management/users/keycloakAdminClient.ts#L1:9,TypeScript,16,3,0
16 lines of code for unit grantFailureSignals.ts.hasExplicitOtpRequiredSignal(string),LOW,RAW,2026-07-17,1,grantFailureSignals.ts.hasExplicitOtpRequiredSignal(string),backend/src/routes/auth2/grantFailureSignals.ts#L9:25,TypeScript,16,1,1
16 lines of code for unit PlansFilterSection.tsx.PlansFilterSection(Props),LOW,RAW,2026-06-04,44,PlansFilterSection.tsx.PlansFilterSection(Props),src/Components/TimesliderItemDetailPage/sections/PlansFilterSection.tsx#L18:97,TypeScript,16,1,1
16 lines of code for unit index.tsx.VliegrouteExporteren(any),LOW,RAW,2026-06-04,44,index.tsx.VliegrouteExporteren(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/VliegrouteExporteren/index.tsx#L13:36,TypeScript,16,2,1
16 lines of code for unit featureLayerLabelGraphicsHelpers.ts.buildFeatureLabelGraphic(any),LOW,RAW,2026-07-18,0,featureLayerLabelGraphicsHelpers.ts.buildFeatureLabelGraphic(any),src/hooks/hover-click-handlers/featureLayerLabelGraphicsHelpers.ts#L5:25,TypeScript,16,2,1
"16 lines of code for unit pdfReportAttachmentImage.ts.drawTakenAtCaption(jsPDF,number,number)",LOW,RAW,2026-07-18,0,"pdfReportAttachmentImage.ts.drawTakenAtCaption(jsPDF,number,number)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportAttachmentImage.ts#L21:40,TypeScript,16,2,3
16 lines of code for unit regioFilter.ts.appendRegioFilter(AppendRegioFilterInput),LOW,RAW,2026-07-01,17,regioFilter.ts.appendRegioFilter(AppendRegioFilterInput),backend/src/helpers/queries/shared/regioFilter.ts#L74:93,TypeScript,16,3,1
16 lines of code for unit ChevronButton.tsx.ChevronButton(any),LOW,RAW,2026-06-04,44,ChevronButton.tsx.ChevronButton(any),src/Components/HomePage/Body/Common/ChevronButton.tsx#L5:35,TypeScript,16,2,1
