WorkPackageID,Category,Status,Severity,Description,File,Unit,LOC,Complexity,Parameters,FanIn,WorkPackageName,Phase
MAINT-03,Unit size,RAW,HIGH,61 lines of code for unit handleSubmit(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx,handleSubmit(),61,8,0,,Voorbereiding wizards,5 - Maintainability
MAINT-03,Unit size,RAW,HIGH,71 lines of code for unit index.tsx.SelectedPointDetails(),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/SelectedPointDetails/index.tsx,index.tsx.SelectedPointDetails(),71,7,0,,Voorbereiding wizards,5 - Maintainability
MAINT-01,Unit size,RAW,HIGH,"72 lines of code for unit createGeometry.ts.createGeometry(Request,Response)",backend/src/routes/geometries/createGeometry.ts,"createGeometry.ts.createGeometry(Request,Response)",72,6,2,,Backend routes and services,5 - Maintainability
MAINT-01,Unit size,RAW,HIGH,70 lines of code for unit app.ts,backend/src/app.ts,app.ts,70,6,0,,Backend routes and services,5 - Maintainability
MAINT-08,Unit size,RAW,HIGH,66 lines of code for unit NotLoggedInWarning.tsx.NotLoggedInWarning(),src/Components/HomePage/Body/Common/NotLoggedInWarning.tsx,NotLoggedInWarning.tsx.NotLoggedInWarning(),66,6,0,,Frontend catch-all,5 - Maintainability
MAINT-03,Unit size,RAW,HIGH,61 lines of code for unit handleSubmit(),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx,handleSubmit(),61,5,0,,Voorbereiding wizards,5 - Maintainability
MAINT-03,Unit size,RAW,HIGH,67 lines of code for unit handleSubmit(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/Buttons.tsx,handleSubmit(),67,4,0,,Voorbereiding wizards,5 - Maintainability
MAINT-05,Unit interfacing,RAW,HIGH,"7 parameters for unit createNewPointEvent.ts.createNewPointEvent(__esri.ViewClickEvent,__esri.GraphicsLayer,void,void,void,void,void)",src/helpers/ArcGISHelpers/createNewPointEvent.ts,"createNewPointEvent.ts.createNewPointEvent(__esri.ViewClickEvent,__esri.GraphicsLayer,void,void,void,void,void)",24,4,7,,ArcGIS helpers,5 - Maintainability
MAINT-08,Unit size,RAW,HIGH,88 lines of code for unit index.tsx.PointsView(PointsViewProps),src/Components/HomePage/Body/Bottom/PointsView/index.tsx,index.tsx.PointsView(PointsViewProps),88,3,1,,Frontend catch-all,5 - Maintainability
MAINT-05,Unit size,RAW,HIGH,86 lines of code for unit createMapView.ts.createMapView(RefObject<HTMLDivElement>),src/helpers/ArcGISHelpers/createMapView.ts,createMapView.ts.createMapView(RefObject<HTMLDivElement>),86,3,1,,ArcGIS helpers,5 - Maintainability
MAINT-03,Unit size,RAW,HIGH,84 lines of code for unit removePoint(string),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx,removePoint(string),84,3,1,,Voorbereiding wizards,5 - Maintainability
MAINT-08,Unit size,RAW,HIGH,65 lines of code for unit Form.tsx.Form(),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Form.tsx,Form.tsx.Form(),65,3,0,,Frontend catch-all,5 - Maintainability
