Description,Severity,Status,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
15 lines occurring 3 times in 3 files,HIGH,RAW,1,15,30,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L72:92,src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L87:107,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L97:117"
15 lines occurring 3 times in 3 files,HIGH,RAW,1,15,30,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L160:180,src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L91:111,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L99:119"
15 lines occurring 3 times in 3 files,HIGH,RAW,1,15,30,3,false,true,TypeScript,"backend/src/routes/flightPlans/getAllFlightPlans.ts#L26:40,backend/src/routes/flightPlans/getPrepreparedFlightPlans.ts#L25:39,backend/src/routes/flightPlans/getSearchedFlightPlans.ts#L31:45"
15 lines occurring 3 times in 3 files,HIGH,RAW,1,15,30,3,false,true,TypeScript,"backend/src/routes/flightPlans/getFullPreparedFlightPlans.ts#L24:38,backend/src/routes/flightPlans/getPrepreparedFlightPlans.ts#L21:35,backend/src/routes/flightPlans/getSearchedFlightPlans.ts#L27:41"
10 lines occurring 4 times in 4 files,HIGH,RAW,1,10,30,4,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L43:52,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx#L58:67,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L81:90,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L89:98"
15 lines occurring 3 times in 3 files,HIGH,RAW,2,15,30,3,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/SinglePlan.tsx#L51:74,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L70:93,src/hooks/hover-click-handlers/usePlanClick.ts#L28:51"
30 lines occurring 2 times in 2 files,HIGH,RAW,2,30,30,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlanDetails/DropDown.tsx#L35:83,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PlansList.tsx#L35:83"
28 lines occurring 2 times in 2 files,HIGH,RAW,1,28,28,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L77:115,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L85:123"
28 lines occurring 2 times in 2 files,HIGH,RAW,2,28,28,2,false,false,TypeScript,"backend/src/Types/index.ts#L57:88,src/Types/index.ts#L93:124"
14 lines occurring 3 times in 3 files,HIGH,RAW,1,14,28,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L90:110,src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L94:113,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L102:121"
