Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 12 for unit index.tsx.Step2(any),MEDIUM,RAW,2026-06-04,25,index.tsx.Step2(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/index.tsx#L18:95,TypeScript,57,12,1
"McCabe complexity of 11 for unit attachments.ts.safeFetchPointAttachments(string,FinishedPointType)",MEDIUM,RAW,2026-06-04,25,"attachments.ts.safeFetchPointAttachments(string,FinishedPointType)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/attachments.ts#L51:121,TypeScript,57,11,2
McCabe complexity of 12 for unit useMapGraphics.ts.useMapGraphics(UseMapGraphicsParams),MEDIUM,RAW,2026-06-04,25,useMapGraphics.ts.useMapGraphics(UseMapGraphicsParams),src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L26:101,TypeScript,56,12,1
McCabe complexity of 16 for unit PointsList.tsx.PointsList(any),MEDIUM,RAW,2026-06-04,25,PointsList.tsx.PointsList(any),src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/PointsList.tsx#L12:33,TypeScript,53,16,1
"McCabe complexity of 20 for unit filterPoints(boolean,void)",MEDIUM,RAW,2026-06-04,25,"filterPoints(boolean,void)",src/hooks/filters/useFilterPoints.ts#L11:65,TypeScript,48,20,2
McCabe complexity of 17 for unit useHoverPointsAndGeometries.ts.useHoverPointsAndGeometries(UseHoverPointsAndGeometriesOptions),MEDIUM,RAW,2026-06-04,25,useHoverPointsAndGeometries.ts.useHoverPointsAndGeometries(UseHoverPointsAndGeometriesOptions),src/hooks/features/useHoverPointsAndGeometries.ts#L21:79,TypeScript,46,17,1
"McCabe complexity of 12 for unit deleteArcgisAttachment.ts.deleteArcgisPointAttachment(string,number|null)",MEDIUM,RAW,2026-06-04,25,"deleteArcgisAttachment.ts.deleteArcgisPointAttachment(string,number|null)",src/helpers/arcgis/deleteArcgisAttachment.ts#L68:122,TypeScript,46,12,2
McCabe complexity of 11 for unit useDebouncedRedPointFromInputs.ts.useDebouncedRedPointFromInputs(any),MEDIUM,RAW,2026-06-04,25,useDebouncedRedPointFromInputs.ts.useDebouncedRedPointFromInputs(any),src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/useDebouncedRedPointFromInputs.ts#L12:69,TypeScript,45,11,1
McCabe complexity of 22 for unit LegendSection.tsx.LegendSection(LegendSectionProps),MEDIUM,RAW,2026-06-10,19,LegendSection.tsx.LegendSection(LegendSectionProps),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSection.tsx#L48:132,TypeScript,44,22,1
McCabe complexity of 18 for unit index.tsx.FeatureLayerPopup(),MEDIUM,RAW,2026-06-04,25,index.tsx.FeatureLayerPopup(),src/Components/HomePage/Body/Common/FeatureLayerPopup/index.tsx#L6:108,TypeScript,44,18,0
"McCabe complexity of 12 for unit createPointGraphic.ts.createPointGraphic(PointData,CreatePointGraphicOptions)",MEDIUM,RAW,2026-06-04,25,"createPointGraphic.ts.createPointGraphic(PointData,CreatePointGraphicOptions)",src/helpers/ArcGISHelpers/createPointGraphic.ts#L94:151,TypeScript,44,12,2
"McCabe complexity of 11 for unit db.ts.applyAgentReport(string,AgentReportBody,DeviceCommand|null)",MEDIUM,RAW,2026-06-04,25,"db.ts.applyAgentReport(string,AgentReportBody,DeviceCommand|null)",backend/src/routes/devices-updates/db.ts#L292:341,TypeScript,42,11,3
McCabe complexity of 17 for unit exportExcel(FlightPlanType),MEDIUM,RAW,2026-06-04,25,exportExcel(FlightPlanType),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/SinglePlan.tsx#L30:32,TypeScript,40,17,1
"McCabe complexity of 13 for unit setupClickListener.ts.setupClickListener(__esri.MapView,void,void,__esri.GraphicsLayer,boolean,__esri.GraphicsLayer|null,boolean)",MEDIUM,RAW,2026-06-06,23,"setupClickListener.ts.setupClickListener(__esri.MapView,void,void,__esri.GraphicsLayer,boolean,__esri.GraphicsLayer|null,boolean)",src/hooks/popUpModal/setupClickListener.ts#L4:82,TypeScript,40,13,7
"McCabe complexity of 11 for unit reportAgentStatus.ts.RequestHandler(any,any)",MEDIUM,RAW,2026-06-04,25,"reportAgentStatus.ts.RequestHandler(any,any)",backend/src/routes/devices-updates/agent/reportAgentStatus.ts#L15:59,TypeScript,40,11,2
"McCabe complexity of 11 for unit handleEditSave(GeometryEditDraft,GeometryPointRow[])",MEDIUM,RAW,2026-06-04,25,"handleEditSave(GeometryEditDraft,GeometryPointRow[])",src/Components/HomePage/Body/Left/Tools/EditGeometry/index.tsx#L109:155,TypeScript,39,11,2
McCabe complexity of 11 for unit useNearestPointClick.ts.useNearestPointClick(UseNearestPointClickOptions),MEDIUM,RAW,2026-06-04,25,useNearestPointClick.ts.useNearestPointClick(UseNearestPointClickOptions),src/hooks/hover-click-handlers/useNearestPointClick.ts#L17:72,TypeScript,36,11,1
McCabe complexity of 11 for unit useGetFlightTimesDistance.ts.useGetFlightTimesDistance(any),MEDIUM,RAW,2026-06-04,25,useGetFlightTimesDistance.ts.useGetFlightTimesDistance(any),src/hooks/useGetFlightTimesDistance.ts#L5:84,TypeScript,36,11,1
"McCabe complexity of 13 for unit filterGeometries(boolean,void)",MEDIUM,RAW,2026-06-04,25,"filterGeometries(boolean,void)",src/hooks/filters/useFilterGeometries.ts#L10:58,TypeScript,34,13,2
McCabe complexity of 11 for unit uploadZip(),MEDIUM,RAW,2026-06-04,25,uploadZip(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/hooks/useUploadZip.ts#L21:61,TypeScript,34,11,0
McCabe complexity of 11 for unit patchCoords(any),MEDIUM,RAW,2026-06-10,19,patchCoords(any),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub2.tsx#L42:76,TypeScript,33,11,1
McCabe complexity of 12 for unit index.tsx.formatValue(any),MEDIUM,RAW,2026-06-04,25,index.tsx.formatValue(any),src/Components/HomePage/Body/Common/FeatureLayerPopup/index.tsx#L119:158,TypeScript,32,12,1
McCabe complexity of 14 for unit useTimesliderImagePageData.ts.parseQuery(URLSearchParams),MEDIUM,RAW,2026-06-04,25,useTimesliderImagePageData.ts.parseQuery(URLSearchParams),src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts#L29:59,TypeScript,31,14,1
McCabe complexity of 12 for unit index.tsx.Details(),MEDIUM,RAW,2026-06-04,25,index.tsx.Details(),src/Components/HomePage/Body/Bottom/PlansView/Details/index.tsx#L21:179,TypeScript,31,12,0
"McCabe complexity of 11 for unit db.ts.mapRow(Record<string, unknown>)",MEDIUM,RAW,2026-06-04,25,"db.ts.mapRow(Record<string, unknown>)",backend/src/routes/devices-updates/db.ts#L43:70,TypeScript,28,11,1
McCabe complexity of 12 for unit finishedPlan.ts.validateFinishedPlan(unknown),MEDIUM,RAW,2026-06-10,19,finishedPlan.ts.validateFinishedPlan(unknown),backend/src/helpers/validators/finishedPlan.ts#L58:93,TypeScript,28,12,1
"McCabe complexity of 13 for unit filterPlansByPeriod.ts.filterPlansByPeriod(T[],string,string,string,string)",MEDIUM,RAW,2026-06-29,0,"filterPlansByPeriod.ts.filterPlansByPeriod(T[],string,string,string,string)",src/hooks/filters/filterPlansByPeriod.ts#L6:42,TypeScript,27,13,5
"McCabe complexity of 12 for unit createGeometryGroup(any,any)",MEDIUM,RAW,2026-06-29,0,"createGeometryGroup(any,any)",backend/src/helpers/queries/formatPlanGeometries.ts#L185:211,TypeScript,25,12,2
"McCabe complexity of 13 for unit isPointInPolygon(__esri.Point,number[])",MEDIUM,RAW,2026-06-04,25,"isPointInPolygon(__esri.Point,number[])",src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/index.tsx#L77:113,TypeScript,25,13,2
McCabe complexity of 14 for unit Images.tsx.Images(any),MEDIUM,RAW,2026-06-04,25,Images.tsx.Images(any),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/ViewPlans/Images.tsx#L8:28,TypeScript,24,14,1
McCabe complexity of 16 for unit logAction(any),MEDIUM,RAW,2026-06-04,25,logAction(any),src/hooks/useLogAction.ts#L35:70,TypeScript,24,16,1
McCabe complexity of 14 for unit calculateCenterAndZoom.ts,MEDIUM,RAW,2026-06-04,25,calculateCenterAndZoom.ts,src/helpers/ArcGISHelpers/calculateCenterAndZoom.ts#L1:5,TypeScript,24,14,0
McCabe complexity of 12 for unit proxyShared.ts.extractTargetUrlFromRequest(any),MEDIUM,RAW,2026-06-04,25,proxyShared.ts.extractTargetUrlFromRequest(any),backend/src/routes/arcgis/proxyShared.ts#L29:57,TypeScript,22,12,1
"McCabe complexity of 12 for unit sortPointsWithSelectionOrder.ts.sortPointsWithSelectionOrder(T[],number[])",MEDIUM,RAW,2026-06-29,0,"sortPointsWithSelectionOrder.ts.sortPointsWithSelectionOrder(T[],number[])",src/hooks/points/sortPointsWithSelectionOrder.ts#L4:15,TypeScript,21,12,2
"McCabe complexity of 12 for unit useSortedPointSelection.ts.useSortedPointSelection(EnrichedPointType[],number[])",MEDIUM,RAW,2026-06-10,19,"useSortedPointSelection.ts.useSortedPointSelection(EnrichedPointType[],number[])",src/hooks/viewPlan/useSortedPointSelection.ts#L4:16,TypeScript,20,12,2
McCabe complexity of 11 for unit EditPointTabs.tsx.EditPointTabs(),MEDIUM,RAW,2026-06-04,25,EditPointTabs.tsx.EditPointTabs(),src/Components/HomePage/Body/Left/Common/BottomTabs/EditPointTabs.tsx#L10:96,TypeScript,17,11,0
McCabe complexity of 11 for unit types.ts.geometryToDraft(Geometry),MEDIUM,RAW,2026-06-04,25,types.ts.geometryToDraft(Geometry),src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/helpers/types.ts#L12:28,TypeScript,16,11,1
"McCabe complexity of 19 for unit populateFormFromPlan.ts.populateFormFromPlan(FlightPlanFormSource,FlightPlanFormFieldSetters)",MEDIUM,RAW,2026-06-29,0,"populateFormFromPlan.ts.populateFormFromPlan(FlightPlanFormSource,FlightPlanFormFieldSetters)",src/hooks/flightPlan/populateFormFromPlan.ts#L15:28,TypeScript,11,19,2
McCabe complexity of 11 for unit toJaNee(number),MEDIUM,RAW,2026-06-04,25,toJaNee(number),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/SinglePlan.tsx#L33:42,TypeScript,10,11,1
McCabe complexity of 11 for unit AandachtspuntDetailsFields.tsx.AandachtspuntDetailsFields(AandachtspuntDetailsFieldsProps),MEDIUM,RAW,2026-06-10,19,AandachtspuntDetailsFields.tsx.AandachtspuntDetailsFields(AandachtspuntDetailsFieldsProps),src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L39:111,TypeScript,8,11,1
McCabe complexity of 14 for unit to01(any),MEDIUM,RAW,2026-06-04,25,to01(any),backend/src/routes/points/createPointFromImport.ts#L46:53,TypeScript,8,14,1
