Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
22 lines of code for unit Buttons(any),LOW,RAW,2026-06-04,26,Buttons(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L333:357,TypeScript,22,3,1
22 lines of code for unit handleDeleteLatest(),LOW,RAW,2026-06-04,26,handleDeleteLatest(),src/Components/InstallationsPage/index.tsx#L89:110,TypeScript,22,6,0
22 lines of code for unit SinglePlan.tsx.SinglePlan(any),LOW,RAW,2026-06-06,24,SinglePlan.tsx.SinglePlan(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L9:50,TypeScript,22,1,1
22 lines of code for unit EditFormBody.tsx,LOW,RAW,2026-06-04,26,EditFormBody.tsx,src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditFormBody.tsx#L1:10,TypeScript,22,1,0
22 lines of code for unit flightPlanFields.ts.buildFlightPlanInsertParams(FlightPlanBodySource),LOW,RAW,2026-06-30,0,flightPlanFields.ts.buildFlightPlanInsertParams(FlightPlanBodySource),backend/src/helpers/queries/flight-plans/flightPlanFields.ts#L87:109,TypeScript,22,5,1
22 lines of code for unit proxyShared.ts.extractTargetUrlFromRequest(any),LOW,RAW,2026-06-04,26,proxyShared.ts.extractTargetUrlFromRequest(any),backend/src/routes/arcgis/proxyShared.ts#L29:57,TypeScript,22,12,1
22 lines of code for unit flightPlanFields.ts.buildFlightPlanInsertSql(),LOW,RAW,2026-06-30,0,flightPlanFields.ts.buildFlightPlanInsertSql(),backend/src/helpers/queries/flight-plans/flightPlanFields.ts#L63:85,TypeScript,22,1,0
"22 lines of code for unit runReturningUpdate.ts.runReturningUpdateById(Response,unknown,Promise,ReturningUpdateConfig)",LOW,RAW,2026-06-29,1,"runReturningUpdate.ts.runReturningUpdateById(Response,unknown,Promise,ReturningUpdateConfig)",backend/src/helpers/runReturningUpdate.ts#L21:50,TypeScript,22,6,4
"22 lines of code for unit utils.ts.fetchWithRetry(string,RequestInit,any)",LOW,RAW,2026-06-04,26,"utils.ts.fetchWithRetry(string,RequestInit,any)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/utils.ts#L3:28,TypeScript,22,7,3
22 lines of code for unit FlightPlan.tsx.SinglePlan(any),LOW,RAW,2026-06-04,26,FlightPlan.tsx.SinglePlan(any),src/Components/HomePage/Body/Left/Nabewerking/ChangeFlightPlanStatus/FlightPlan.tsx#L9:46,TypeScript,22,1,1
22 lines of code for unit Buttons.tsx.Buttons(),LOW,RAW,2026-06-04,26,Buttons.tsx.Buttons(),src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step3/Buttons.tsx#L9:28,TypeScript,22,2,0
"22 lines of code for unit runReturningUpdate.ts.runStatusUpdate(Response,unknown,Promise,StatusUpdateConfig)",LOW,RAW,2026-06-29,1,"runReturningUpdate.ts.runStatusUpdate(Response,unknown,Promise,StatusUpdateConfig)",backend/src/helpers/runReturningUpdate.ts#L59:88,TypeScript,22,7,4
21 lines of code for unit createYellowBorder.ts.createYellowBorder(EnrichedPointType),LOW,RAW,2026-06-04,26,createYellowBorder.ts.createYellowBorder(EnrichedPointType),src/helpers/ArcGISHelpers/createYellowBorder.ts#L6:29,TypeScript,21,1,1
21 lines of code for unit fetchDevices(),LOW,RAW,2026-06-04,26,fetchDevices(),src/Components/DevicesUpdatesPage/index.tsx#L37:57,TypeScript,21,6,0
21 lines of code for unit Sidebar.tsx.Sidebar(),LOW,RAW,2026-06-04,26,Sidebar.tsx.Sidebar(),src/Components/DashboardPage/Sidebar.tsx#L3:37,TypeScript,21,1,0
21 lines of code for unit CommonTabBtn.tsx.CommonTabBtn(any),LOW,RAW,2026-06-04,26,CommonTabBtn.tsx.CommonTabBtn(any),src/Components/HomePage/Head/Common/CommonTabBtn.tsx#L6:52,TypeScript,21,2,1
21 lines of code for unit exportShp(),LOW,RAW,2026-06-04,26,exportShp(),src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L108:130,TypeScript,21,1,0
21 lines of code for unit Buttons.tsx.Buttons(any),LOW,RAW,2026-06-04,26,Buttons.tsx.Buttons(any),src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/Buttons.tsx#L9:34,TypeScript,21,1,1
21 lines of code for unit Options.tsx.Options(OptionsProps),LOW,RAW,2026-06-04,26,Options.tsx.Options(OptionsProps),src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/Options.tsx#L26:36,TypeScript,21,5,1
"21 lines of code for unit useTableLayout.ts.useTableLayout(number,number,number,number)",LOW,RAW,2026-06-04,26,"useTableLayout.ts.useTableLayout(number,number,number,number)",src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useTableLayout.ts#L1:27,TypeScript,21,6,4
"21 lines of code for unit create(T,void,any,any)",LOW,RAW,2026-06-04,26,"create(T,void,any,any)",src/utils/useCreateData.ts#L50:79,TypeScript,21,9,4
21 lines of code for unit handleCancel(),LOW,RAW,2026-06-04,26,handleCancel(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/index.tsx#L89:113,TypeScript,21,1,0
