Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
7 lines occurring 4 times in 4 files,HIGH,RAW,2026-07-04,10,7,21,4,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/CoordinatesInput.tsx#L12:18,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx#L29:35,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx#L16:22,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts#L9:15"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,9,9,2,false,false,TypeScript,"src/hooks/zustand/shared/flightPlanFormFields.ts#L26:34,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/viewPlanSession.ts#L17:25"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/useAddPointToPlanMapEffects.ts#L11:21,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/useStepContentMapSync.ts#L8:20"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,40,9,9,2,false,true,TypeScript,"src/Components/HomePage/Head/Common/FilterTabs.tsx#L15:24,src/Components/HomePage/Body/Left/Common/TabHeader/index.tsx#L15:24"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,9,9,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/templateFlightStates.ts#L45:53,src/hooks/zustand/voorbereiding/useFlightPlanState.ts#L51:59"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,15,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L71:79,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx#L31:39"
9 lines occurring 2 times,HIGH,RAW,2026-07-04,10,9,9,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerBuilders.ts#L20:28,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerBuilders.ts#L39:47"
6 lines occurring 5 times in 5 files,HIGH,RAW,2026-07-13,1,6,24,5,false,false,TypeScript,"src/helpers/points/buildPointUpdatePayload.ts#L4:9,src/Types/finished_plans.ts#L31:36,backend/src/helpers/validators/finishedPlan.ts#L38:43,src/Types/index.ts#L5:10,src/helpers/points/pointColumnKeys.ts#L34:39"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,9,9,2,false,true,TypeScript,"backend/src/routes/template_plans/createTemplateFlightPlan.ts#L50:59,backend/src/routes/template_plans/createTemplateName.ts#L29:38"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,38,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/CoordinatesInput.tsx#L12:22,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx#L16:26"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,9,9,2,false,true,TypeScript,"src/helpers/tokens/ArcGISUserToken.ts#L57:65,src/helpers/refreshToken.ts#L24:32"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/Buttons.tsx#L22:30,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L22:30"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,40,9,9,2,false,true,TypeScript,"src/hooks/filters/usePlansFilterStore.ts#L25:36,src/hooks/filters/usePointsFilterStore.ts#L31:42"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,9,9,2,false,true,TypeScript,"src/hooks/zustand/shared/flightPlanFormFields.ts#L2:10,src/hooks/flightPlan/pickFlightPlanCreateFields.ts#L6:14"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L56:68,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L58:70"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepNo/Buttons.tsx#L10:20,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepMultiplePoints/Buttons.tsx#L10:20"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,9,9,2,false,true,TypeScript,"src/Components/HomePage/Head/HeadButtonsTimeslider.tsx#L19:27,src/Components/HomePage/Head/timeslider/useTimesliderRange.ts#L124:132"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/Buttons.tsx#L20:30,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/SelectFromSourceButtons.tsx#L24:32"
