Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
24 lines of code for unit index.tsx.SelectFromSource(any),LOW,RAW,2026-07-30,5,index.tsx.SelectFromSource(any),src/Components/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L16:77,TypeScript,24,3,1
24 lines of code for unit handleBuffer(),LOW,RAW,2026-06-04,61,handleBuffer(),src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/PointsBuffer.tsx#L21:49,TypeScript,24,5,0
24 lines of code for unit popupSelection.ts.openPopupForClickedPoint(any),LOW,RAW,2026-07-29,6,popupSelection.ts.openPopupForClickedPoint(any),src/Components/HomePage/hooks/popUpModal/popupSelection.ts#L16:55,TypeScript,24,5,1
24 lines of code for unit index.tsx.EditPoint(),LOW,RAW,2026-07-30,5,index.tsx.EditPoint(),src/Components/Voorbereiding/ViewPlan/Steps/EditPoint/index.tsx#L7:61,TypeScript,24,2,0
24 lines of code for unit useEditFormState.ts.useEditFormState(Geometry),LOW,RAW,2026-07-30,5,useEditFormState.ts.useEditFormState(Geometry),src/Components/HomePageTools/EditGeometry/EditForm/useEditFormState.ts#L43:66,TypeScript,24,2,1
"24 lines of code for unit createPointFromImport.ts.createPointFromImport(Request,Response)",LOW,RAW,2026-06-04,61,"createPointFromImport.ts.createPointFromImport(Request,Response)",backend/src/routes/points/createPointFromImport.ts#L11:39,TypeScript,24,5,2
24 lines of code for unit index.ts,LOW,RAW,2026-07-30,5,index.ts,src/hooks/zustand/ui/index.ts#L5:28,TypeScript,24,1,0
24 lines of code for unit submitViewPlanStep2.ts.buildViewPlanStep2SubmitContext(any),LOW,RAW,2026-07-30,5,submitViewPlanStep2.ts.buildViewPlanStep2SubmitContext(any),src/Components/Voorbereiding/ViewPlan/Steps/Step2/submitViewPlanStep2.ts#L19:52,TypeScript,24,3,1
24 lines of code for unit index.tsx.Step3(any),LOW,RAW,2026-07-30,5,index.tsx.Step3(any),src/Components/Voorbereiding/FlightPlan/Steps/Step3/index.tsx#L20:102,TypeScript,24,1,1
24 lines of code for unit loadUsers(),LOW,RAW,2026-06-04,61,loadUsers(),src/Components/DashboardPage/AllUsersTable/index.tsx#L45:72,TypeScript,24,5,0
"24 lines of code for unit getAttachmentsPlanSinglePoint.ts.getAttachmentsPlanSinglePoint(Request,Response)",LOW,RAW,2026-06-04,61,"getAttachmentsPlanSinglePoint.ts.getAttachmentsPlanSinglePoint(Request,Response)",backend/src/routes/finished_plans/getAttachmentsPlanSinglePoint.ts#L4:32,TypeScript,24,5,2
24 lines of code for unit subscribeMapHoverHighlight.ts.subscribeMapHoverHighlight(MapHoverLayers),LOW,RAW,2026-07-18,17,subscribeMapHoverHighlight.ts.subscribeMapHoverHighlight(MapHoverLayers),src/Components/HomePage/Body/MapViewComp/subscribeMapHoverHighlight.ts#L5:28,TypeScript,24,2,1
24 lines of code for unit deletePointStateCore.ts.createDeletePointSetters(any),LOW,RAW,2026-07-29,6,deletePointStateCore.ts.createDeletePointSetters(any),src/Components/HomePage/hooks/zustand/tools/deletePointStateCore.ts#L45:68,TypeScript,24,1,1
23 lines of code for unit spoedReportSendHelpers.ts.renderSpoedPdfBuffer(ValidatedSpoed),LOW,RAW,2026-07-18,17,spoedReportSendHelpers.ts.renderSpoedPdfBuffer(ValidatedSpoed),backend/src/routes/emails/spoedReportSendHelpers.ts#L23:47,TypeScript,23,2,1
23 lines of code for unit Buttons.tsx.Buttons(),LOW,RAW,2026-07-30,5,Buttons.tsx.Buttons(),src/Components/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx#L16:36,TypeScript,23,2,0
23 lines of code for unit SaveEditGeometryInput.saveEditGeometry(SaveEditGeometryInput),LOW,RAW,2026-07-30,5,SaveEditGeometryInput.saveEditGeometry(SaveEditGeometryInput),src/Components/HomePageTools/EditGeometry/editGeometryActionHandlers.ts#L62:84,TypeScript,23,2,1
23 lines of code for unit nnederlandLayerSpecsPart3a.ts,LOW,RAW,2026-07-18,17,nnederlandLayerSpecsPart3a.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart3a.ts#L1:28,TypeScript,23,1,0
23 lines of code for unit staleCommandSql.ts.buildStaleCommandUpdateSql(any),LOW,RAW,2026-07-13,22,staleCommandSql.ts.buildStaleCommandUpdateSql(any),backend/src/routes/devices-updates/staleCommandSql.ts#L9:35,TypeScript,23,2,1
23 lines of code for unit nnederlandLayerSpecsPart1c.ts,LOW,RAW,2026-07-18,17,nnederlandLayerSpecsPart1c.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart1c.ts#L1:28,TypeScript,23,1,0
23 lines of code for unit selectedPointDetailsData.ts.buildSelectedPointDetails(BuildSelectedPointDetailsInput),LOW,RAW,2026-07-30,5,selectedPointDetailsData.ts.buildSelectedPointDetails(BuildSelectedPointDetailsInput),src/Components/Voorbereiding/SelectedPoint/SelectedPointDetails/selectedPointDetailsData.ts#L19:45,TypeScript,23,1,1
23 lines of code for unit nnederlandLayerSpecsPart2c.ts,LOW,RAW,2026-07-18,17,nnederlandLayerSpecsPart2c.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart2c.ts#L1:28,TypeScript,23,1,0
23 lines of code for unit handleSubmit(),LOW,RAW,2026-07-30,5,handleSubmit(),src/Components/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/Submit.tsx#L20:42,TypeScript,23,2,0
23 lines of code for unit useViewPlanFilteredPlans.ts.useViewPlanFilteredPlans(any),LOW,RAW,2026-07-30,5,useViewPlanFilteredPlans.ts.useViewPlanFilteredPlans(any),src/Components/Voorbereiding/ViewPlan/useViewPlanFilteredPlans.ts#L5:36,TypeScript,23,3,1
23 lines of code for unit nnederlandLayerSpecsPart2a.ts,LOW,RAW,2026-07-18,17,nnederlandLayerSpecsPart2a.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart2a.ts#L1:28,TypeScript,23,1,0
23 lines of code for unit handleToggle(React.ChangeEvent<HTMLInputElement>),LOW,RAW,2026-06-04,61,handleToggle(React.ChangeEvent<HTMLInputElement>),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LayerItem.tsx#L42:71,TypeScript,23,5,1
23 lines of code for unit nnederlandLayerSpecsPart2b.ts,LOW,RAW,2026-07-18,17,nnederlandLayerSpecsPart2b.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart2b.ts#L1:28,TypeScript,23,1,0
23 lines of code for unit runReturningUpdate.ts.executeReturningUpdate(any),LOW,RAW,2026-07-14,21,runReturningUpdate.ts.executeReturningUpdate(any),backend/src/helpers/http/runReturningUpdate.ts#L35:64,TypeScript,23,3,1
23 lines of code for unit featureLayerLabelsSync.ts.attachFeatureLayerLabelSync(any),LOW,RAW,2026-07-29,6,featureLayerLabelsSync.ts.attachFeatureLayerLabelSync(any),src/Components/HomePage/hooks/hover-click-handlers/featureLayerLabelsSync.ts#L6:10,TypeScript,23,3,1
23 lines of code for unit useStepContentHooks.ts.useStepContentHooks(any),LOW,RAW,2026-07-30,5,useStepContentHooks.ts.useStepContentHooks(any),src/Components/Voorbereiding/AddPointsVluchtPlan/Common/useStepContentHooks.ts#L11:38,TypeScript,23,3,1
23 lines of code for unit BottomTabButton.tsx.BottomTabButton(any),LOW,RAW,2026-07-18,17,BottomTabButton.tsx.BottomTabButton(any),src/Components/HomePage/Body/Left/Common/BottomTabs/BottomTabButton.tsx#L7:40,TypeScript,23,3,1
23 lines of code for unit nnederlandLayerSpecsPart3b.ts,LOW,RAW,2026-07-18,17,nnederlandLayerSpecsPart3b.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart3b.ts#L1:28,TypeScript,23,1,0
23 lines of code for unit timesliderPlanImagesParse.ts.parseTimesliderPlanImagesRequest(any),LOW,RAW,2026-07-18,17,timesliderPlanImagesParse.ts.parseTimesliderPlanImagesRequest(any),backend/src/helpers/queries/timeslider/timesliderPlanImagesParse.ts#L15:41,TypeScript,23,3,1
23 lines of code for unit bufferPointsOnLayerCore.ts.bufferPointsOnLayer(BufferPointsOnLayerInput),LOW,RAW,2026-07-30,5,bufferPointsOnLayerCore.ts.bufferPointsOnLayer(BufferPointsOnLayerInput),src/helpers/ArcGISHelpers/bufferPointsOnLayerCore.ts#L46:70,TypeScript,23,1,1
