Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Common/LoginBannerTheme.ts#L2:9,src/Components/HomePage/Body/Common/notLoggedInBannerTheme.ts#L4:11"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,8,8,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/parsePointImportFile.ts#L23:30,src/helpers/ZustandStates/popUpInitialState.ts#L5:12"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,8,8,2,false,true,TypeScript,"src/Components/DashboardPage/EditUser/buildEditUserFormHandlers.ts#L11:19,src/Components/DashboardPage/ResetPassword/buildResetPasswordHandlers.ts#L12:20"
8 lines occurring 2 times,HIGH,RAW,2026-06-04,44,8,8,2,true,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useTableScrollWidth.ts#L15:22,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useTableScrollWidth.ts#L50:57"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/handleAddPointStepMapClick.ts#L25:32,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/handleEnrichedAddPointClick.ts#L35:42"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,38,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx#L28:35,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx#L15:22"
6 lines occurring 3 times in 2 files,HIGH,RAW,2026-07-18,0,6,12,3,false,true,TypeScript,"backend/src/helpers/queries/flight-plans/fetchFlightPlanList.ts#L14:19,backend/src/helpers/queries/flight-plans/fetchFlightPlanListHelpers.ts#L15:20,backend/src/helpers/queries/flight-plans/fetchFlightPlanListHelpers.ts#L26:31"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-18,0,6,12,3,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/parsePointImportFile.ts#L23:28,src/helpers/ZustandStates/popUpInitialState.ts#L5:10,src/hooks/zustand/tools/useDeletePointState.ts#L101:106"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/reportGenerationPipelineTypes.ts#L9:16,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/reportPdfCommon.ts#L15:22"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/helpers/createYellowPointGraphic.ts#L20:26,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/drawYellowPlanGraphics.ts#L32:38"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-01,17,6,6,2,false,true,TypeScript,"backend/src/routes/timeslider/getGeometryPlanImages.ts#L5:10,backend/src/routes/timeslider/getPointPlanImages.ts#L5:10"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/editPointCoordinateSync.ts#L41:47,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/editPointMapClickHelpers.ts#L10:16"
