Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 69 lines of code,MEDIUM,RAW,2026-06-10,36,src/hooks/layout/useResizableSidebar.ts,TypeScript,69
Interface module with 61 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/hover-click-handlers/useDrawPath.ts,TypeScript,61
Interface module with 59 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/arcgis/deleteArcgisAttachment.ts,TypeScript,59
Interface module with 59 lines of code,MEDIUM,RAW,2026-06-04,42,src/utils/useDeleteData.ts,TypeScript,59
Interface module with 59 lines of code,MEDIUM,RAW,2026-06-04,42,src/utils/useCreateData.ts,TypeScript,59
Interface module with 56 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/ArcGISHelpers/createPin.ts,TypeScript,56
Interface module with 56 lines of code,MEDIUM,RAW,2026-06-06,40,src/helpers/ArcGISHelpers/finishedPlanMapGraphics.ts,TypeScript,56
Interface module with 53 lines of code,MEDIUM,RAW,2026-06-04,42,src/utils/useUpdateData.ts,TypeScript,53
Interface module with 51 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/hover-click-handlers/useFeatureLayerPopup.ts,TypeScript,51
Interface module with 47 lines of code,MEDIUM,RAW,2026-07-13,3,src/hooks/bottom/useBottomCompactListView.ts,TypeScript,47
Interface module with 46 lines of code,MEDIUM,RAW,2026-06-29,17,src/hooks/flightPlan/usePopulateFlightPlanFormEffect.ts,TypeScript,46
Interface module with 45 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/filters/useFilterGeometries.ts,TypeScript,45
Interface module with 45 lines of code,MEDIUM,RAW,2026-07-14,2,src/hooks/zustand/shared/planContentSelectionState.ts,TypeScript,45
Interface module with 44 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/ArcGISHelpers/createNewPointEvent.ts,TypeScript,44
Interface module with 41 lines of code,MEDIUM,RAW,2026-06-10,36,src/hooks/wizard/useWizardButtons.ts,TypeScript,41
Interface module with 40 lines of code,MEDIUM,RAW,2026-06-29,17,src/helpers/points/buildPointUpdatePayload.ts,TypeScript,40
Interface module with 39 lines of code,MEDIUM,RAW,2026-07-04,12,src/hooks/flightPlan/buildFlightPlanCreateAttributes.ts,TypeScript,39
Interface module with 39 lines of code,MEDIUM,RAW,2026-06-29,17,src/hooks/resultTab/useResultTabStarredPointActions.ts,TypeScript,39
Interface module with 39 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/useTimeRange.ts,TypeScript,39
Interface module with 38 lines of code,MEDIUM,RAW,2026-07-13,3,src/hooks/points/useWizardPointsFilterHeader.tsx,TypeScript,38
Interface module with 38 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/hover-click-handlers/useNearestPointClick.ts,TypeScript,38
Interface module with 37 lines of code,MEDIUM,RAW,2026-06-10,36,src/hooks/viewPlan/useMapPointSelectionClick.ts,TypeScript,37
Interface module with 34 lines of code,MEDIUM,RAW,2026-07-13,3,src/hooks/resultTab/useResultTabMoreMenu.ts,TypeScript,34
Interface module with 34 lines of code,MEDIUM,RAW,2026-07-13,3,src/hooks/flightPlan/flightPlanFormLabels.ts,TypeScript,34
Interface module with 32 lines of code,MEDIUM,RAW,2026-07-15,1,src/hooks/filters/useFilteredSortedPlans.ts,TypeScript,32
Interface module with 31 lines of code,MEDIUM,RAW,2026-07-13,3,src/hooks/resultTab/useResultTabTableView.ts,TypeScript,31
Interface module with 30 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/hover-click-handlers/useEditGeometryVerticesOnMap.ts,TypeScript,30
Interface module with 30 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/features/useRenderGeometries.ts,TypeScript,30
Interface module with 29 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/features/useRenderPoints.ts,TypeScript,29
Interface module with 28 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/hover-click-handlers/useFeatureLayerLabels.ts,TypeScript,28
Interface module with 28 lines of code,MEDIUM,RAW,2026-07-13,3,src/helpers/ArcGISHelpers/flightPlanMapActions.ts,TypeScript,28
Interface module with 28 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/popUpModal/useHandleClosePopUp.ts,TypeScript,28
Interface module with 27 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/ArcGISHelpers/getTransformedCoordinates.ts,TypeScript,27
Interface module with 26 lines of code,MEDIUM,RAW,2026-07-14,2,src/hooks/features/useResetPointFilters.ts,TypeScript,26
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/ArcGISHelpers/createMapView.ts,TypeScript,25
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/filters/useFilterPoints.ts,TypeScript,25
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/ArcGISHelpers/createYellowBorder.ts,TypeScript,25
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-29,17,src/hooks/points/sortPointsWithSelectionOrder.ts,TypeScript,25
Interface module with 23 lines of code,MEDIUM,RAW,2026-07-13,3,src/hooks/flightPlan/collectUniquePlanPointIds.ts,TypeScript,23
Interface module with 22 lines of code,MEDIUM,RAW,2026-06-04,42,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/pointPlanImagesToAttachments.ts,TypeScript,22
Interface module with 22 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/filterPlans.ts,TypeScript,22
Interface module with 21 lines of code,MEDIUM,RAW,2026-06-10,36,src/hooks/hover-click-handlers/useGeometryClick.ts,TypeScript,21
Interface module with 21 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/filters/useFilterPlans.ts,TypeScript,21
Interface module with 20 lines of code,MEDIUM,RAW,2026-07-13,3,src/hooks/flightPlan/pickFlightPlanCreateFields.ts,TypeScript,20
Interface module with 20 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/handleCancel/useCancelCreateFlightPlan.ts,TypeScript,20
Interface module with 19 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/ArcGISHelpers/createPoint.ts,TypeScript,19
Interface module with 18 lines of code,MEDIUM,RAW,2026-07-14,2,src/helpers/points/sortPointsByImageCount.ts,TypeScript,18
Interface module with 17 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/features/useFetchInitialFeatures.ts,TypeScript,17
Interface module with 17 lines of code,MEDIUM,RAW,2026-06-04,42,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/usePointPlanImages.ts,TypeScript,17
Interface module with 16 lines of code,MEDIUM,RAW,2026-06-04,42,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/useGeometryPlanImages.ts,TypeScript,16
Interface module with 16 lines of code,MEDIUM,RAW,2026-07-13,3,src/helpers/points/herhalenFilter.ts,TypeScript,16
Interface module with 16 lines of code,MEDIUM,RAW,2026-07-04,12,src/hooks/map/mapClickGuard.ts,TypeScript,16
Interface module with 16 lines of code,MEDIUM,RAW,2026-06-06,40,src/hooks/hover-click-handlers/useFinishedPlanMapHighlight.ts,TypeScript,16
