Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-15,1,6,12,3,false,false,TypeScript,"src/Types/index.ts#L31:36,src/hooks/flightPlan/populateFormFromPlan.ts#L7:12,src/hooks/flightPlan/usePopulateFlightPlanFormEffect.ts#L28:33"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,42,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step3/index.tsx#L9:17,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step2/index.tsx#L9:17"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,12,8,8,2,false,true,TypeScript,"backend/src/routes/points/editPointStatus.ts#L6:14,backend/src/routes/flightPlans/updateFlightPlanStatus.ts#L6:14"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,12,8,8,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/parsePointImportFile.ts#L24:31,src/helpers/ZustandStates/popUpState.ts#L6:13"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,36,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/AddToPlan/Step1.tsx#L6:15,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/Step1.tsx#L6:15"
8 lines occurring 2 times,HIGH,RAW,2026-06-04,42,8,8,2,true,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useTableScrollWidth.ts#L15:22,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useTableScrollWidth.ts#L50:57"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-15,1,6,12,3,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/parsePointImportFile.ts#L24:29,src/helpers/ZustandStates/popUpState.ts#L6:11,src/hooks/zustand/tools/useDeletePointState.ts#L101:106"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,3,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/reportGenerationPipeline.ts#L16:23,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/reportPdfCommon.ts#L15:22"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,36,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx#L28:35,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx#L15:22"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,8,8,2,false,true,TypeScript,"src/Components/DashboardPage/ResetPassword/index.tsx#L69:83,src/Components/DashboardPage/EditUser/index.tsx#L79:93"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-01,15,6,6,2,false,true,TypeScript,"backend/src/routes/timeslider/getGeometryPlanImages.ts#L5:10,backend/src/routes/timeslider/getPointPlanImages.ts#L5:10"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,3,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L63:68,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L59:64"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/PointsList.tsx#L5:12,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/PointsList.tsx#L9:16"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,3,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/Buttons.tsx#L41:49,src/Components/HomePage/Body/Left/Tools/EditGeometry/editGeometryHelpers.ts#L51:59"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,12,6,6,2,false,true,TypeScript,"src/helpers/ArcGISHelpers/createPin.ts#L25:30,src/helpers/timeslider/selectedPlansPointsList.ts#L135:140"
6 lines occurring 2 times,HIGH,RAW,2026-07-13,3,6,6,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/buildReportProcessingTasks.ts#L33:38,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/buildReportProcessingTasks.ts#L52:57"
6 lines occurring 2 times,HIGH,RAW,2026-07-04,12,6,6,2,true,true,TypeScript,"backend/scripts/verifyRegioPointsGeometries.ts#L14:19,backend/scripts/verifyRegioPointsGeometries.ts#L38:43"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,3,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L76:82,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L68:74"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,1,7,7,2,false,true,TypeScript,"src/Components/TimesliderItemDetailPage/sections/PlansFilterSection.tsx#L4:11,src/Components/TimesliderItemDetailPage/sections/TimesliderPlansOverlay.tsx#L8:14"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,1,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/index.tsx#L19:25,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useFilterAndSortPlans.ts#L19:25"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,1,7,7,2,false,true,TypeScript,"src/Components/TimesliderItemDetailPage/sections/PlansFilterSection.tsx#L19:25,src/Components/TimesliderItemDetailPage/sections/TimesliderPlansOverlay.tsx#L20:26"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,12,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/BottomTabs/KaartlagenlijstTab.tsx#L6:14,src/Components/HomePage/Body/Left/Common/BottomTabs/SearchedTab.tsx#L6:15"
