WorkPackageID,Status,Severity,Description,Occurrences,RedundantLOC,Locations
DUP-01,RAW,HIGH,6 lines occurring 5 times in 5 files,5,24,"src/helpers/points/buildPointUpdatePayload.ts#L4:9,src/Types/finished_plans.ts#L31:36,backend/src/helpers/validators/finishedPlan.ts#L38:43,src/Types/index.ts#L5:10,src/helpers/points/pointColumnKeys.ts#L34:39"
DUP-07,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/hooks/zustand/shared/flightPlanFormFields.ts#L41:49,src/hooks/zustand/voorbereiding/useFlightPlanState.ts#L86:94"
DUP-08,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PlansList.tsx#L63:72,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L71:80"
DUP-01,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepNo/Buttons.tsx#L8:18,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepMultiplePoints/Buttons.tsx#L8:18"
DUP-01,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"backend/src/routes/template_plans/createTemplateFlightPlan.ts#L50:59,backend/src/routes/template_plans/createTemplateName.ts#L29:38"
DUP-08,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L31:39,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L42:50"
DUP-01,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/CoordinatesInput.tsx#L12:22,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx#L16:26"
DUP-01,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/hooks/filters/usePlansFilterStore.ts#L25:36,src/hooks/filters/usePointsFilterStore.ts#L31:42"
DUP-08,RAW,HIGH,6 lines occurring 5 times in 4 files,5,24,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L75:82,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L84:91,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L67:74,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L116:123,src/Components/H"
DUP-01,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L56:68,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L58:70"
