Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"4 parameters for unit createNewPoint.ts.createNewPoint(__esri.GraphicsLayer,void,number,number)",LOW,RAW,2026-06-04,30,"createNewPoint.ts.createNewPoint(__esri.GraphicsLayer,void,number,number)",src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/helpers/createNewPoint.ts#L3:17,TypeScript,8,1,4
"3 parameters for unit utils.ts.runWithConcurrency(any,any,number)",LOW,RAW,2026-06-04,30,"utils.ts.runWithConcurrency(any,any,number)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/utils.ts#L30:36,TypeScript,7,1,3
"3 parameters for unit normalizePointCoreFields.ts.normalizePointCoreFields(PointCoreSource,Partial<Record<PointCoreColumn, unknown>>,any)",LOW,RAW,2026-06-30,4,"normalizePointCoreFields.ts.normalizePointCoreFields(PointCoreSource,Partial<Record<PointCoreColumn, unknown>>,any)",backend/src/helpers/queries/points/normalizePointCoreFields.ts#L32:43,TypeScript,7,2,3
"3 parameters for unit normalizePointCoreFields.ts.resolvePointCoreColumn(PointCoreColumn,PointCoreSource,Partial<Record<PointCoreColumn, unknown>>)",LOW,RAW,2026-06-30,4,"normalizePointCoreFields.ts.resolvePointCoreColumn(PointCoreColumn,PointCoreSource,Partial<Record<PointCoreColumn, unknown>>)",backend/src/helpers/queries/points/normalizePointCoreFields.ts#L20:30,TypeScript,7,2,3
"3 parameters for unit installers.ts.requireAdminUpload(any,any,any)",LOW,RAW,2026-06-04,30,"installers.ts.requireAdminUpload(any,any,any)",backend/src/routes/installers.ts#L43:49,TypeScript,7,2,3
"3 parameters for unit middleware.ts.requireAdmin(any,any,any)",LOW,RAW,2026-06-04,30,"middleware.ts.requireAdmin(any,any,any)",backend/src/routes/devices-updates/middleware.ts#L21:27,TypeScript,7,2,3
"3 parameters for unit reportUpload.ts.filename(any,any,any)",LOW,RAW,2026-06-04,30,"reportUpload.ts.filename(any,any,any)",backend/src/routes/reportUpload.ts#L16:21,TypeScript,6,4,3
"3 parameters for unit withLog(string,void,unknown)",LOW,RAW,2026-06-10,24,"withLog(string,void,unknown)",src/hooks/wizard/useWizardButtons.ts#L20:26,TypeScript,6,1,3
"3 parameters for unit scrollHorizontally.ts.scrollHorizontally(any,RefObject<HTMLDivElement>,RefObject<HTMLDivElement>)",LOW,RAW,2026-06-04,30,"scrollHorizontally.ts.scrollHorizontally(any,RefObject<HTMLDivElement>,RefObject<HTMLDivElement>)",src/Components/HomePage/Body/Bottom/PointsView/common/functions/scrollHorizontally.ts#L3:12,TypeScript,6,4,3
"3 parameters for unit CreateKeycloakUserInput.assertKeycloakResponseOk(Response,string,string)",LOW,RAW,2026-07-04,0,"CreateKeycloakUserInput.assertKeycloakResponseOk(Response,string,string)",backend/src/routes/keycloak/management/users/createKeycloakUser.ts#L21:31,TypeScript,6,3,3
"3 parameters for unit ImportPointsWriter.constructor(PoolClient,NormalizedImportRow[],unknown[])",LOW,RAW,2026-07-01,3,"ImportPointsWriter.constructor(PoolClient,NormalizedImportRow[],unknown[])",backend/src/helpers/points/createPointFromImportDb.ts#L78:86,TypeScript,5,1,3
"4 parameters for unit useWizardCleanup.ts.runWizardCleanup(Array,any,any,any)",LOW,RAW,2026-06-10,24,"useWizardCleanup.ts.runWizardCleanup(Array,any,any,any)",src/hooks/wizard/useWizardCleanup.ts#L1:7,TypeScript,5,2,4
"3 parameters for unit useDirectDownload.ts.useDirectDownload(DownloadInfo|null,void,void)",LOW,RAW,2026-06-04,30,"useDirectDownload.ts.useDirectDownload(DownloadInfo|null,void,void)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/hooks/useDirectDownload.ts#L6:13,TypeScript,5,1,3
"3 parameters for unit planSelection.ts.resolveStandalonePoints(number[],EnrichedPointType[],Geometry[])",LOW,RAW,2026-06-04,30,"planSelection.ts.resolveStandalonePoints(number[],EnrichedPointType[],Geometry[])",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/planSelection.ts#L68:77,TypeScript,5,1,3
"4 parameters for unit pointMapGraphics.ts.showRedMarkerAt(__esri.GraphicsLayer,__esri.MapView,number,number)",LOW,RAW,2026-07-04,0,"pointMapGraphics.ts.showRedMarkerAt(__esri.GraphicsLayer,__esri.MapView,number,number)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/pointMapGraphics.ts#L29:38,TypeScript,5,1,4
"3 parameters for unit reportUpload.ts.fileFilter(any,any,any)",LOW,RAW,2026-06-04,30,"reportUpload.ts.fileFilter(any,any,any)",backend/src/routes/reportUpload.ts#L24:28,TypeScript,5,4,3
"3 parameters for unit pdfReportLayout.ts.wrapPdfSection(jsPDF,number,number)",LOW,RAW,2026-07-04,0,"pdfReportLayout.ts.wrapPdfSection(jsPDF,number,number)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportLayout.ts#L28:32,TypeScript,5,1,3
"3 parameters for unit useCopyLink.ts.useCopyLink(DownloadInfo|null,void,void)",LOW,RAW,2026-06-04,30,"useCopyLink.ts.useCopyLink(DownloadInfo|null,void,void)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/hooks/useCopyLink.ts#L8:15,TypeScript,5,1,3
"3 parameters for unit helpers.ts.getUserRolesForRequest(string,any,any)",LOW,RAW,2026-06-29,5,"helpers.ts.getUserRolesForRequest(string,any,any)",backend/src/routes/keycloak/management/users/helpers.ts#L53:56,TypeScript,4,1,3
"3 parameters for unit normalizePointCoreFields.ts.pointCoreValues(PointCoreSource,Partial<Record<PointCoreColumn, unknown>>,any)",LOW,RAW,2026-06-30,4,"normalizePointCoreFields.ts.pointCoreValues(PointCoreSource,Partial<Record<PointCoreColumn, unknown>>,any)",backend/src/helpers/queries/points/normalizePointCoreFields.ts#L45:51,TypeScript,4,1,3
"3 parameters for unit installers.ts.filename(any,any,any)",LOW,RAW,2026-06-04,30,"installers.ts.filename(any,any,any)",backend/src/routes/installers.ts#L71:74,TypeScript,4,2,3
"4 parameters for unit pdfReportMapPages.ts.fitImageToBox(number,number,number,number)",LOW,RAW,2026-07-04,0,"pdfReportMapPages.ts.fitImageToBox(number,number,number,number)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportMapPages.ts#L3:11,TypeScript,4,1,4
"3 parameters for unit useResizableSidebar.ts.getResizeDelta(ResizeHandleSide,number,number)",LOW,RAW,2026-06-10,24,"useResizableSidebar.ts.getResizeDelta(ResizeHandleSide,number,number)",src/hooks/layout/useResizableSidebar.ts#L15:21,TypeScript,3,2,3
"3 parameters for unit usePlanStarGraphic.ts.addPlanStarGraphics(FlightPlanType[],__esri.GraphicsLayer,PlanStarGraphicVariant)",LOW,RAW,2026-06-06,28,"usePlanStarGraphic.ts.addPlanStarGraphics(FlightPlanType[],__esri.GraphicsLayer,PlanStarGraphicVariant)",src/hooks/hover-click-handlers/usePlanStarGraphic.ts#L43:49,TypeScript,3,1,3
"3 parameters for unit FlightPlanColumnPreset.flightPlanExtraColumns(string,any,any)",LOW,RAW,2026-07-01,3,"FlightPlanColumnPreset.flightPlanExtraColumns(string,any,any)",backend/src/helpers/queries/flight-plans/flightPlanColumns.ts#L19:24,TypeScript,3,1,3
"3 parameters for unit useResizableSidebar.ts.clamp(number,number,number)",LOW,RAW,2026-06-10,24,"useResizableSidebar.ts.clamp(number,number,number)",src/hooks/layout/useResizableSidebar.ts#L11:13,TypeScript,3,1,3
"3 parameters for unit clamp(number,number,number)",LOW,RAW,2026-06-04,30,"clamp(number,number,number)",src/Components/HomePage/Body/MapViewComp/index.tsx#L59:60,TypeScript,2,1,3
"3 parameters for unit spoedReportHtml.ts.buildSpoedPdfHtml(SpoedReportFields,string,string)",LOW,RAW,2026-06-29,5,"spoedReportHtml.ts.buildSpoedPdfHtml(SpoedReportFields,string,string)",backend/src/routes/emails/spoedReportHtml.ts#L82:86,TypeScript,0,1,3
